"epoch","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Wednesday_19_March_2025_01h_08m_01s - Train/weight_grad_norm__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - _step__MAX","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MIN","mobilenet_Task Activation Function_all relu_Wednesday_19_March_2025_01h_06m_55s - Train/weight_grad_norm__MAX"
"36","22240.434782608696","21923","22513","0.23884801825751428","0.20250888168811798","0.28380119800567627","22238.81818181818","21911","22517","0.2822691450516383","0.23579271137714386","0.3217572569847107"
"37","22863.117647058825","22557","23149","0.24503330097478979","0.19083543121814728","0.28125694394111633","22837","22597","23123","0.28127280126015347","0.2452017068862915","0.31119102239608765"
"38","23460.846153846152","23187","23781","0.2347178768653136","0.20248666405677795","0.28725311160087585","23535.647058823528","23189","23783","0.2800072265021941","0.21762430667877197","0.32486292719841003"
"39","24078.485714285714","23819","24397","0.23485310673713683","0.2034587860107422","0.2719196379184723","24131.042553191488","23803","24411","0.28248188343453917","0.24693667888641357","0.3261261284351349"
"40","24712.225806451614","24415","25023","0.23663999428672175","0.19451771676540375","0.28671029210090637","24722.53846153846","24421","25001","0.2836811832892589","0.2524212896823883","0.3319866955280304"
"41","25330.333333333332","25045","25659","0.24403239637613297","0.19435104727745056","0.28018754720687866","25357.363636363636","25043","25629","0.2813184342601083","0.2322109341621399","0.3354727327823639"
"42","25984.333333333332","25675","26281","0.2431004982855585","0.19497855007648468","0.2910335659980774","25975.484848484848","25705","26273","0.28030137943499017","0.23614747822284698","0.31495046615600586"
"43","26562.25925925926","26317","26841","0.24674976644692598","0.21827808022499084","0.28538578748703003","26559.054054054053","26299","26891","0.2784306358646702","0.23552876710891724","0.31747761368751526"
"44","27229.457142857143","26935","27541","0.2378558955022267","0.1957862675189972","0.3064199984073639","27238.74193548387","26931","27509","0.275463861323172","0.2419479787349701","0.30352991819381714"
"45","27925.375","27565","28165","0.2463241945952177","0.21957984566688538","0.2986784279346466","27880.4358974359","27557","28157","0.2799353622473203","0.24700142443180084","0.309759259223938"
"46","28480.166666666668","28173","28785","0.24270651779241031","0.20789042115211487","0.30174311995506287","28452.733333333334","28179","28791","0.2810714567701022","0.24742670357227325","0.31389039754867554"
"47","29114.103448275862","28807","29413","0.2546639832957038","0.2021944224834442","0.29291749000549316","29150.071428571428","28837","29391","0.28167148040873663","0.22701936960220337","0.3126680254936218"
"48","29739.533333333333","29449","30043","0.23806242495775223","0.1862623542547226","0.2751830220222473","29746.555555555555","29425","30019","0.2855825940767924","0.2343720644712448","0.3251500427722931"
"49","30370.677419354837","30053","30647","0.25011230139963087","0.21164515614509583","0.31208255887031555","30378.29411764706","30053","30635","0.28389497539576364","0.2537807822227478","0.31725502014160156"
"50","30947.41176470588","30687","31269","0.23813860556658575","0.1943528801202774","0.29200175404548645","31013.619047619046","30689","31293","0.2837076715770222","0.24285049736499786","0.3474825918674469"
"51","31632.567567567567","31309","31923","0.24382218114427617","0.2020297795534134","0.29773247241973877","31566.641025641027","31305","31871","0.28654550168758786","0.24684830009937286","0.33295753598213196"
"52","32243.434782608696","31943","32549","0.2393212862636732","0.20606088638305664","0.28805530071258545","32225.9","31931","32535","0.28010769858956336","0.23074735701084137","0.3292003571987152"
"53","32898.86666666667","32575","33169","0.2529876589775085","0.19967731833457947","0.32014355063438416","32842.23529411765","32557","33173","0.2807513549923897","0.2432648092508316","0.31123512983322144"
"54","33439.45161290323","33183","33775","0.24563627377633127","0.19286802411079407","0.30336183309555054","33482.09090909091","33191","33795","0.2805994785193241","0.2373146414756775","0.32088136672973633"
"55","34163.6","33887","34417","0.2495865374803543","0.20828917622566223","0.30973339080810547","34124.95121951219","33843","34415","0.2821889734122811","0.23396894335746765","0.33775418996810913"
