"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MAX"
"132","41419.36666666667","41269","41569","0.010549649735912681","0.001370771904475987","0.030374344438314438","41292.41935483871","41134","41441","0.023467135675732168","0.00310549046844244","0.07439710944890976"
"133","41772.5","41587","41887","0.00877603537026936","0.0007043208461254835","0.043610259890556335","41600.91891891892","41465","41754","0.03376318383458499","0.00764713529497385","0.0818072259426117"
"134","42086.24324324324","41916","42205","0.009244564936395633","0.001081798691302538","0.056718289852142334","41917.8","41777","42068","0.03263267351624866","0.005817149765789509","0.09413034468889236"
"135","42375.07692307692","42215","42521","0.00932469885223187","0.001110503333620727","0.041914138942956924","42231.40740740741","42108","42386","0.029686029069125652","0.0042411754839122295","0.0814087763428688"
"136","42673.07407407407","42528","42832","0.007835144185702558","0.0011318738106638193","0.0395616851747036","42548.28571428572","42391","42688","0.026462032898728338","0.0047793262638151646","0.06744572520256042"
"137","42970.89743589744","42841","43134","0.00598569384489495","0.0007658384856767952","0.04606975242495537","42849.37037037037","42722","43009","0.022524939884466154","0.004441860597580671","0.05229967460036278"
"138","43322.828571428574","43171","43462","0.006105621606444142","0.0006290298770181835","0.030873702839016914","43159.84","43029","43324","0.02817085262387991","0.006768523715436459","0.1214824765920639"
"139","43637.40425531915","43488","43777","0.008477074434693426","0.0009263294050469995","0.041517287492752075","43480.145833333336","43354","43639","0.016021585897154484","0.001686173491179943","0.049527790397405624"
"140","43936.45945945946","43790","44094","0.005364378481612516","0.0004611188196577132","0.02030177228152752","43805.055555555555","43649","43941","0.022200234971630078","0.0032218864653259516","0.10510831326246262"
"141","44258.52380952381","44106","44397","0.009073564544364456","0.0006497256690636277","0.04794906824827194","44085.24324324324","43962","44257","0.01966232674926318","0.0016277909744530916","0.05447857826948166"
"142","44562.28888888889","44422","44723","0.007185864134225994","0.0006914407131262124","0.034706324338912964","44436.142857142855","44277","44578","0.02079698853859944","0.0029103958513587713","0.06818455457687378"
"143","44898.032258064515","44732","45038","0.003564633872179735","0.0006651417934335768","0.025263966992497444","44747.1","44594","44890","0.024903771894363064","0.0019082275684922934","0.06073383241891861"
"144","45216.40740740741","45057","45348","0.006620999141078856","0.0007881132187321782","0.025007355958223343","45058.41379310345","44920","45212","0.022857528067482955","0.004926092457026243","0.06288591027259827"
"145","45511.416666666664","45361","45656","0.006402686543879099","0.0008148910710588098","0.0342986024916172","45387.25714285715","45222","45526","0.0243939507885703","0.0055164131335914135","0.06126270443201065"
"146","45827.25","45694","45961","0.005959746764953404","0.0004484431992750615","0.03165237978100777","45694.83783783784","45534","45825","0.02166163382070089","0.002317107515409589","0.05976402014493942"
"147","46143.885714285716","46017","46284","0.005402630283996197","0.0004554380720946938","0.040378179401159286","46012.06060606061","45849","46155","0.017063850498137374","0.0019222731934860349","0.05464443936944008"
"148","46484.14634146341","46311","46616","0.004931800137699877","0.0003053973487112671","0.03304392844438553","46325.375","46168","46457","0.022304014666588046","0.003913286607712507","0.06004532054066658"
"149","46821.94117647059","46668","46931","0.004126579389455454","0.0006126094958744943","0.015345512889325619","46608","46475","46739","0.021462111187597308","0.002176600741222501","0.08307906240224838"
"150","47098.85294117647","46935","47231","0.00412319296361495","0.0005674428539350629","0.018547117710113525","46939.14705882353","46790","47093","0.019624910454320556","0.002008410170674324","0.07804863899946213"
"151","47408.24324324324","47250","47557","0.005210015183390194","0.0006837585824541748","0.02609255164861679","47257.83870967742","47112","47381","0.022291967735415506","0.0026618551928550005","0.06291202455759048"
"152","47715.65714285714","47569","47875","0.004784566019329109","0.0006911251693964005","0.026850640773773193","47559.717948717946","47417","47721","0.021772434320062015","0.0030946002807468176","0.05534915253520012"
"153","48042.28947368421","47881","48191","0.004881717725718198","0.0005674391868524253","0.03901760280132294","47860.4","47739","48012","0.022810109771255936","0.002490187529474497","0.07309014350175858"
"154","48354.09375","48208","48506","0.007809939593244053","0.00047753253602422774","0.04039003327488899","48190.67647058824","48046","48353","0.02194946543450522","0.0014955417718738317","0.06929560005664825"
"155","48683.9375","48528","48815","0.004225266638059111","0.0003695647756103426","0.02690531313419342","48520.7","48362","48667","0.02115945836994797","0.0019290840718895197","0.1004243940114975"
"156","48980.096774193546","48828","49132","0.0036714323214255273","0.0004645865992642939","0.012804506346583366","48798.575","48676","48978","0.019439736948697828","0.0017989067127928138","0.06524602323770523"
"157","49299.54285714286","49151","49440","0.003755235207998859","0.0005426389980129898","0.031892430037260056","49132.606060606064","48990","49280","0.016313916671964707","0.002100964542478323","0.050799157470464706"
"158","49576.76470588235","49457","49765","0.0030356412256985683","0.0005023875273764133","0.019909562543034554","49469.92307692308","49303","49606","0.015048939277991079","0.0016326437471434474","0.05321099981665611"
"159","49928.6875","49770","50060","0.003463809462118661","0.00031031796243041754","0.015714574605226517","49745.48148148148","49620","49923","0.01437992033014005","0.0010718251578509808","0.04691879078745842"
"160","50254.666666666664","50114","50395","0.0039361727704556706","0.00031656664214096963","0.020669512450695038","50080.95652173913","49931","50230","0.015638224618590397","0.0026554358191788197","0.06012207642197609"
"161","50543.04347826087","50405","50700","0.0018015268566238735","0.00020287993538659066","0.004872029181569815","50407.85294117647","50247","50551","0.020426198627854532","0.0026398489717394114","0.06296959519386292"
"162","50849.166666666664","50727","51022","0.0037978512783800916","0.0002610319934319705","0.03788740932941437","50701.19512195122","50568","50860","0.016195669915050087","0.0018943973118439317","0.04596948251128197"
"163","51204.256410256414","51064","51341","0.003794714495784436","0.00035268341889604926","0.027644161134958267","51045.933333333334","50869","51178","0.018571237016779683","0.0027156115975230932","0.11387860029935837"
"164","51492.645161290326","51347","51649","0.002954864901708319","0.00032842528889887035","0.01862819865345955","51345.83783783784","51184","51490","0.014853325304323556","0.0016842298209667206","0.03765887767076492"
"165","51818.54285714286","51666","51967","0.005941698033296104","0.0003810466732829809","0.03873533010482788","51628.15","51508","51773","0.015762098843697458","0.0020936077926307917","0.05207693949341774"
"166","52124.083333333336","51980","52274","0.002066109413539784","0.0004055166500620544","0.011252297088503838","51966.142857142855","51811","52116","0.020058475115469526","0.0018105448689311743","0.09170586615800858"
"167","52459.60975609756","52301","52596","0.0029247176876751615","0.0002149022329831496","0.01985364407300949","52261.95","52128","52432","0.017302437411854044","0.0013088032137602568","0.05911961570382118"
"168","52769.75862068965","52624","52913","0.0020527541667528064","0.00032507130526937544","0.009260781109333038","52587.42105263158","52442","52737","0.015207999490054422","0.0017516473308205605","0.05915747582912445"
"169","53075.78125","52921","53228","0.0023762934551996295","0.00040248912409879267","0.012770782224833965","52909.92307692308","52763","53059","0.015236661348563548","0.0008417500648647547","0.054336436092853546"
"170","53380.333333333336","53242","53545","0.0031888466861952716","0.0002895800571423024","0.020715001970529556","53234.21052631579","53078","53373","0.012639222740146675","0.0010546082630753517","0.03720847889780998"
"171","53688.21212121212","53553","53849","0.00499220846474848","0.0002539274573791772","0.048239510506391525","53532.8","53389","53687","0.0181023900530168","0.0009355212096124887","0.06285017728805542"
"172","54000.09302325582","53865","54171","0.002761627288215772","0.0002780551149044186","0.017549678683280945","53859.68965517241","53696","54004","0.013225303015446868","0.001811833819374442","0.05342559888958931"
"173","54323.03125","54181","54483","0.0025118184657912934","0.0002510026970412582","0.011969353072345257","54146.3125","54017","54311","0.013412529641451934","0.0007919739000499249","0.05564714968204498"
"174","54656.769230769234","54496","54804","0.0024321905224590013","0.00019439343304838985","0.015103914774954319","54493.28571428572","54324","54632","0.014244009853739824","0.00232139159925282","0.05202741175889969"
"175","54954.333333333336","54827","55107","0.0024512095551472157","0.0003139421169180423","0.01729014329612255","54779.08823529412","54638","54916","0.01450149592025863","0.0007397610461339355","0.05342690274119377"
"176","55287.94736842105","55132","55418","0.0018276479922382063","0.00044476529001258314","0.0084081357344985","55083.51282051282","54953","55239","0.011595772728562737","0.0014147612964734435","0.06888338923454285"
"177","55577.6129032258","55449","55748","0.0035372093646606853","0.00021605167421512306","0.03734183311462402","55431.55882352941","55267","55566","0.014035053092383724","0.002011696808040142","0.07199443876743317"
"178","55936.17857142857","55764","56055","0.0016638161687296815","0.0003860610886476934","0.006467295810580254","55716.02857142857","55579","55880","0.016507468169688115","0.0015965258935466409","0.05699917674064636"
"179","56227.375","56075","56368","0.002958051799396344","0.0002477698726579547","0.04137003421783447","56066.96153846154","55913","56201","0.01488792449862768","0.0010911275167018175","0.069176085293293"
"180","56563.357142857145","56394","56689","0.003161759920268586","0.00023227909696288407","0.01496976800262928","56389.27272727273","56227","56517","0.012936135769864037","0.0017925159772858024","0.046911753714084625"
"181","56829.4","56706","56977","0.002232767193345353","0.000193560408661142","0.02264704741537571","56684.25","56557","56829","0.013313538517751213","0.002310842042788863","0.031170163303613663"
"182","57183.857142857145","57067","57307","0.0020483167318161577","0.0004321386222727597","0.01998317986726761","57031.41935483871","56840","57143","0.01571537331572824","0.001201864331960678","0.07493256032466888"
"183","57481.23529411765","57337","57635","0.002224205663557822","0.0003050713276024908","0.013357296586036682","57286.18421052631","57151","57450","0.01591689294008048","0.0009980398463085294","0.060808394104242325"
"184","57771.83783783784","57645","57952","0.0013050969589400935","0.0002050897164735943","0.005119152367115021","57617.1","57477","57770","0.011061034968588502","0.002295128768309951","0.02520092949271202"
"185","58130.903225806454","57981","58249","0.0028793082221396146","0.00027755784685723484","0.020955346524715424","57897.857142857145","57777","58085","0.016530815159369792","0.0020486575085669756","0.04954264312982559"
"186","58432.04","58275","58580","0.002696108364034444","0.0001861964410636574","0.022783832624554634","58241","58090","58395","0.008805327774462057","0.0004589049785863608","0.030323069542646408"
"187","58760.6","58610","58891","0.0015719088070909493","0.00015072018140926957","0.009357364848256111","58582.36111111111","58421","58715","0.014243789246797355","0.001058262656442821","0.05250610038638115"
"188","59063.28571428572","58917","59204","0.001768869934520418","0.0002174254768760875","0.014082875102758408","58866.17647058824","58722","59005","0.017499981893171722","0.0015345413703471422","0.04677724465727806"
"189","59402.09090909091","59255","59531","0.0015380199457109538","0.00020227218919899315","0.010371220298111439","59186.69696969697","59042","59340","0.011331037598817298","0.0006403587176464498","0.047767274081707"
"190","59685.71875","59568","59845","0.0032468315828282357","0.0001036888497765176","0.02797895297408104","59480.48275862069","59349","59657","0.020901205849127268","0.0015405848389491439","0.09468306601047516"
"191","59985.63636363636","59867","60157","0.002744487265193708","0.00023351611162070185","0.01097781304270029","59795.454545454544","59663","59961","0.01221364744670802","0.0012465439504012465","0.05553915351629257"
"192","60307.62162162162","60171","60473","0.0020237519410501764","0.00021701751393266022","0.017200324684381485","60150.944444444445","59976","60282","0.01730223247755526","0.001531470799818635","0.0659569799900055"
"193","60641.62962962963","60509","60774","0.0027471991671956385","0.00018823854043148458","0.02690102905035019","60449.86956521739","60305","60586","0.010592781852566353","0.0007483693771064281","0.04588964581489563"
"194","60975","60810","61104","0.0031261760261798","0.0002170897350879386","0.023357518017292023","60744.525","60607","60912","0.011574282840592786","0.0012888973578810692","0.0653148964047432"
"195","61267.78048780488","61113","61421","0.002231044567363314","0.00017280901374761015","0.012946336530148983","61048.086956521736","60918","61218","0.013109631051876298","0.0013483691727742553","0.04822492226958275"
"196","61549.5625","61428","61726","0.00253907857086233","0.00014419785293284804","0.01991916075348854","61381.92307692308","61234","61541","0.015295867727567943","0.0013516739709302783","0.0658075213432312"
"197","61944","61805","62045","0.0009716481846921585","0.00013017680612392724","0.003918420989066362","61679.560975609755","61547","61826","0.013468945248438636","0.001133423182182014","0.07237572968006134"
"198","62200.818181818184","62063","62364","0.0017460234217155216","0.0001818469463614747","0.011443405412137508","62002.55","61859","62161","0.013091281268862076","0.0006277683423832059","0.07136132568120956"
"199","62542.379310344826","62405","62658","0.0013255842051625348","0.00011077310045948252","0.00823686271905899","62330.885714285716","62173","62483","0.016711459714653237","0.0020429305732250214","0.05775265023112297"
"200","62851.78571428572","62699","62989","0.0020292674136206707","0.00016578462964389473","0.030225709080696106","62608.416666666664","62486","62758","0.012955912285380893","0.0011351160937920213","0.08021567761898041"
"201","63168.47222222222","63002","63310","0.0012868838012865228","0.00008626839553471655","0.01397643145173788","62962.21951219512","62801","63110","0.013461501012476751","0.00064656330505386","0.048485588282346725"
"202","63460.76470588235","63316","63626","0.002595164983444299","0.00012142816558480263","0.015851454809308052","63259.02777777778","63125","63422","0.01042563183808751","0.0006045017507858574","0.035229869186878204"
"203","63791.07407407407","63636","63938","0.001066451534926374","0.00015893384988885373","0.005510641261935234","63599.89743589744","63433","63737","0.010230481308192397","0.0004908460541628301","0.05168384686112404"
"204","64088.28","63945","64227","0.0027364610019139945","0.00021978141739964485","0.03281495347619057","63886.80487804878","63742","64049","0.009710651544127159","0.0005857652868144214","0.05116228759288788"
"205","64398.25","64276","64568","0.001456625835439459","0.00013563457468990237","0.021258141845464706","64191.34375","64062","64365","0.009677244874183089","0.0009975428692996502","0.047856979072093964"
"206","64753.69696969697","64580","64886","0.0026074287386357105","0.00023814826272428036","0.01858752779662609","64525.35897435898","64372","64678","0.011367347813808383","0.0005591972731053829","0.07410386949777603"
"207","65044.48484848485","64892","65199","0.001557012739905269","0.00021896972612012178","0.01257998961955309","64832.32","64686","64994","0.01239149652654305","0.0005418068030849099","0.05522032454609871"
"208","65337.11111111111","65222","65483","0.0026792637870164107","0.00012473482638597488","0.022691966965794563","65146.851851851854","65010","65286","0.011420050079727339","0.0013349854853004217","0.03857432305812836"
"209","65679.51612903226","65525","65831","0.001306494913860074","0.00024381116963922977","0.006203859578818083","65465.820512820515","65315","65623","0.010622728084667753","0.000792087463196367","0.058197155594825745"
"210","65982.84375","65847","66139","0.00181322988919419","0.0001791578542906791","0.016739454120397568","65819.26086956522","65663","65933","0.013471595570951215","0.0008106534951366484","0.06665682047605515"
"211","66305","66154","66459","0.0013874169566406636","0.00012564839562401175","0.011405259370803833","66122","65957","66246","0.0089828654568659","0.00044439840712584555","0.05118422955274582"
"212","66599.2258064516","66472","66767","0.0017597262044399676","0.00018877304682973772","0.0073705618269741535","66377.27586206897","66255","66564","0.010782848044041672","0.0006469350773841143","0.02981281280517578"
"213","66941.38461538461","66794","67089","0.0012100518103509855","0.00014511251356452703","0.004321692977100611","66745.26190476191","66574","66876","0.009592602521436112","0.0009492452372796834","0.05084198713302612"
"214","67248.75","67095","67397","0.0010385026913094667","0.00019698934920597821","0.006765104364603758","67042","66891","67193","0.011730618473073398","0.0009388835169374943","0.052354492247104645"
"215","67587.51063829787","67418","67709","0.0027818608650704846","0.00009959866292774677","0.019401123747229576","67357.21428571429","67202","67503","0.006010019827434527","0.0010684113949537277","0.018938248977065086"
"216","67866.25714285714","67731","68035","0.002004723776190076","0.0001054516396834515","0.01578928530216217","67671.32258064517","67538","67815","0.013675934161930796","0.0011193082900717854","0.07671018689870834"
"217","68184.69696969698","68052","68341","0.0008820470849803479","0.00010421414481243119","0.005157523788511753","67979.1052631579","67825","68135","0.011128670542108777","0.0005733069265261292","0.05828694626688957"
"218","68488.0625","68356","68629","0.001986607457183709","0.00007103096868377179","0.011447902768850327","68317.92307692308","68143","68449","0.006433642511882891","0.0006530421669594944","0.018247095867991447"
"219","68846.2","68710","68973","0.0018244899431010709","0.00018876086687669158","0.010623342357575893","68619","68478","68750","0.008451012453544095","0.001119627500884235","0.0293887909501791"
"220","69145.7741935484","69012","69289","0.0010253467851491164","0.00013203592970967293","0.006652795244008303","68906.3125","68798","69058","0.011189230839590891","0.0005854805349372327","0.057172033935785294"
"221","69440.64285714286","69302","69589","0.001413560235440465","0.00014802503574173898","0.01570819318294525","69254.8125","69101","69391","0.006899917203554651","0.0011265185894444585","0.035243261605501175"
"222","69786.64705882352","69621","69926","0.0019235729607102899","0.00012416719982866198","0.019466368481516838","69522.10256410256","69399","69705","0.012635702276244186","0.0007393733831122518","0.11464960873126984"
"223","70099.68965517242","69934","70228","0.0010819255207777665","0.00014652653771918267","0.005965610966086388","69890.63157894737","69712","70011","0.00989683546389355","0.000928543449845165","0.06078193709254265"
"224","70382.70588235294","70249","70547","0.0014265852944791893","0.00011769064440159127","0.009793843142688274","70180.67567567568","70023","70332","0.010050743240926013","0.0007904669037088752","0.06265150755643845"
"225","70705.36666666667","70560","70867","0.0019408997492670703","0.00008748147229198366","0.015675554051995277","70502.675","70338","70646","0.007297452316561248","0.0009150700643658638","0.0442754365503788"
"226","71017.95","70878","71178","0.0018236371925013373","0.00011422009265515953","0.01012510433793068","70807.34285714285","70651","70960","0.009703622746746987","0.0009322071564383805","0.03174490109086037"
"227","71345.92","71196","71494","0.0012423032126389444","0.00012719479855149984","0.006924909073859453","71127.74193548386","70991","71240","0.009175510498725118","0.0009749280288815498","0.041504502296447754"
"228","71652.125","71509","71804","0.0011267788140685298","0.00008564710151404142","0.006746689788997173","71466.9268292683","71290","71586","0.010513490046056487","0.0004970909794792533","0.050476107746362686"
"229","71982.94594594595","71823","72130","0.0011306150707831556","0.0001441305357730016","0.00516982888802886","71747.0487804878","71600","71897","0.009942209639120847","0.0007286088657565415","0.04751412197947502"
"230","72301","72160","72445","0.0011300564016748563","0.0001250641216756776","0.01048985030502081","72038.08108108108","71913","72204","0.01050317006317798","0.0005071923369541764","0.040023092180490494"
"231","72609.44736842105","72458","72755","0.001576862174643841","0.00014374591410160065","0.010817299596965313","72366.30769230769","72228","72522","0.009697458947089333","0.0005559304845519364","0.0465029701590538"
"232","72916.03448275862","72765","73076","0.0013021930371278673","0.00006750523607479408","0.010901333764195442","72711.65714285715","72539","72844","0.009066778448011193","0.0010552029125392437","0.030933238565921783"
"233","73232.52777777778","73083","73381","0.0011033352643102666","0.00015391006309073418","0.008765475824475288","72997.65853658537","72849","73153","0.010127239025811233","0.0011514390353113413","0.06571456789970398"
"234","73557.0303030303","73408","73701","0.0017341399542408799","0.00006972337723709643","0.021205278113484383","73313.53125","73165","73456","0.010605427372865961","0.000556420418433845","0.05374911427497864"
"235","73852.6","73714","74004","0.0011194034052702288","0.0001464850065531209","0.007567142602056265","73603.69696969698","73480","73785","0.008626592209717879","0.0005824381951242685","0.030496720224618912"
"236","74179.11111111111","74029","74336","0.0008754356893203092","0.00011040267418138683","0.0049735987558960915","73939.63414634146","73798","74090","0.009640304172246875","0.00030170244281180203","0.06690752506256104"
"237","74485.75","74366","74648","0.0018234547361706582","0.00021310412557795644","0.011813773773610592","74253.74193548386","74104","74413","0.006844521437268404","0.00040324495057575405","0.026551108807325363"
"238","74858","74681","74966","0.002034768858266034","0.00007117087807273492","0.018877996131777763","74570.32","74429","74726","0.009892736799083651","0.000753072090446949","0.03485758230090141"
"239","75153.20588235294","74977","75273","0.0008897806598243359","0.00012869402416981757","0.008581634610891342","74892.81818181818","74750","75034","0.009614611217385214","0.00048008060548454523","0.04019254446029663"
"240","75462.4","75288","75582","0.001565814201811528","0.00008652557880850509","0.008117999881505966","75219.39285714286","75048","75338","0.0076250643053624246","0.0007177590159699321","0.032055072486400604"
"241","75741.02857142857","75607","75902","0.001394864171327624","0.00014893630577716976","0.014848395250737667","75495.07407407407","75369","75655","0.01248706425367682","0.0015003468142822385","0.052207257598638535"
"242","76053.9","75922","76211","0.0021863266784445537","0.000089537505118642","0.018543267622590065","75829.19444444444","75676","75984","0.005475119086137663","0.0008512013591825962","0.02461152710020542"
"243","76382","76237","76532","0.0010174154219472961","0.00014891143655404449","0.006247618235647678","76159.5","75990","76295","0.011229715106310323","0.0009232255979441106","0.049700263887643814"
"244","76685.0625","76549","76850","0.0015387737930723233","0.00010782384197227657","0.009525440633296967","76454.79310344828","76303","76604","0.013109079883273306","0.0008616643026471138","0.050381071865558624"
"245","77028.76315789473","76864","77150","0.0008847038719211827","0.00011825336696347222","0.007107189856469631","76773.75862068965","76620","76922","0.008094757616696558","0.0008493860950693488","0.04473426565527916"
"246","77327.875","77175","77477","0.0006531053322760272","0.000125249513075687","0.003070655046030879","77097.94444444444","76942","77238","0.011318245000438765","0.0003396079409867525","0.061489470303058624"
"247","77646.1081081081","77503","77799","0.0009851604932132555","0.00015924764738883823","0.006057665683329105","77408.14285714286","77259","77543","0.007445187248023493","0.0006309818709269166","0.041752953082323074"
"248","77956.33333333333","77806","78111","0.0008192851722318059","0.00008146392065100372","0.005146907642483711","77729.97222222222","77562","77852","0.00801292153361525","0.00020175745885353535","0.04115763679146767"
"249","78270.76315789473","78126","78415","0.0013293669919795846","0.00008562349830754101","0.00680338591337204","78023.28571428571","77877","78171","0.007300311998863306","0.0005552824586629868","0.05718468874692917"
"250","78581.62857142858","78436","78741","0.0023533528745507022","0.00017574525554664433","0.02149558626115322","78336.19444444444","78186","78490","0.008042771742717983","0.00034984282683581114","0.05087118223309517"
"251","78909.27027027027","78751","79054","0.0010334658231963782","0.00009302341641159728","0.009594389237463474","78673.85","78506","78803","0.009707029236597008","0.00040285626892000437","0.05152357369661331"
"252","79214.94117647059","79071","79371","0.0017618349353570545","0.00011500991968205199","0.023592934012413025","78948.36666666667","78815","79113","0.01001497870311141","0.0007527883863076568","0.04242778196930885"
"253","79572.32258064517","79396","79690","0.0021649062072092128","0.00014662795001640916","0.02404763363301754","79281.18421052632","79128","79436","0.009523626748552104","0.0003760753897950053","0.03841551020741463"
"254","79847.76666666666","79695","79985","0.0013001077483446959","0.0001293300447287038","0.006888382602483034","79584.77777777778","79449","79738","0.0061697506813895115","0.00019188183068763465","0.0319250114262104"
"255","80170.24137931035","80011","80321","0.0012444492255373665","0.00008092904317891225","0.007703515700995922","79922.27777777778","79756","80063","0.006504410350721123","0.0006657048361375928","0.037827976047992706"
"256","80469.19444444444","80335","80629","0.0008558863486945888","0.00013919273624196649","0.006974814459681511","80191.76666666666","80079","80381","0.0070272405806463215","0.0005495246732607484","0.04922892898321152"
"257","80792.19512195123","80652","80948","0.0008962344258978236","0.00012999138562008739","0.005592787638306618","80505.3448275862","80399","80670","0.007549182826990326","0.0003798087127506733","0.05044153705239296"
"258","81119.28125","80969","81264","0.0016635652305012627","0.0001017963804770261","0.01270166877657175","80855.55882352941","80712","81002","0.009459458721240106","0.0006896050763316453","0.03803825005888939"
"259","81435.07142857143","81270","81577","0.00084188687850699","0.00006094831769587472","0.01148917805403471","81163.36","81037","81313","0.008939697018358856","0.0007946768891997635","0.03912777081131935"
"260","81747.26086956522","81590","81889","0.0009908418762042065","0.00007400389586109668","0.005911543965339661","81499.78787878787","81340","81634","0.008162809994466828","0.00034983287332579494","0.04346105083823204"
"261","82069.7","81921","82211","0.0009617211631848477","0.00011499895481392741","0.007352800108492374","81789.8","81643","81946","0.00765004866552772","0.0004610585165210068","0.03468213602900505"
"262","82374.02380952382","82224","82516","0.00131065273793259","0.00009793630306376144","0.00825886894017458","82128.31818181818","81968","82261","0.007723753102420067","0.000700406904798001","0.032351791858673096"
"263","82712.62962962964","82535","82840","0.0015968809829145256","0.00007580710371257737","0.012551461346447468","82402.1052631579","82283","82579","0.004630020336327634","0.0003093330597039312","0.04016554355621338"
"264","82991.05714285714","82845","83148","0.001089843238670645","0.00011869477748405188","0.00655159680172801","82720.33333333333","82587","82882","0.00603296824847348","0.00041626766324043274","0.02794037014245987"
"265","83320.58620689655","83173","83470","0.0016718269370953906","0.00007405468204524368","0.016380203887820244","83048.70833333333","82905","83179","0.007832085519718627","0.0006678354111500084","0.04331269487738609"
"266","83614.1052631579","83486","83781","0.0008791192453109512","0.00008945363515522331","0.006832387298345566","83363.25806451614","83212","83518","0.0057268922147716604","0.00041550039895810187","0.019205190241336823"
"267","83937.13888888889","83800","84089","0.0008628144625820116","0.00013459478213917464","0.004152841400355101","83675.21212121213","83540","83835","0.005133403317868766","0.00029149101465009153","0.020917676389217377"
"268","84271.78947368421","84114","84412","0.0010372175604157075","0.00006670110451523215","0.009114151820540428","84003.77142857143","83844","84138","0.004630433273268864","0.0002753286680672318","0.020132066681981087"
"269","84575.06896551725","84420","84728","0.0010214333980974484","0.00009376255184179172","0.006105334497988224","84279.69696969698","84164","84437","0.005169533254846818","0.00033120496664196253","0.025967376306653023"
"270","84902.21428571429","84747","85045","0.0010992897306485766","0.00013892787683289498","0.008937962353229523","84641.45454545454","84471","84773","0.007129883524171557","0.0006841031135991216","0.036424096673727036"
"271","85198.68571428572","85050","85361","0.001358581571756596","0.00008507656457368284","0.007992120459675789","84956.74285714286","84786","85089","0.006889910731531147","0.0006326258298940957","0.03835759684443474"
"272","85529.1875","85378","85676","0.0014564548660018772","0.0001237422548001632","0.00926272477954626","85246.45945945945","85097","85369","0.005969867579060028","0.00033890939084813","0.039649058133363724"
"273","85841.5945945946","85681","85991","0.0013646164170003849","0.0000857510240166448","0.009771713986992836","85547.43243243243","85410","85710","0.005051471853417948","0.0001565704442327842","0.033589690923690796"
"274","86157.65384615384","85999","86301","0.0011452344960371892","0.00015301995154004544","0.006185221951454878","85850.55813953489","85728","86028","0.005941386564721375","0.0004543242393992841","0.048352085053920746"
"275","86480.2972972973","86323","86620","0.0012866066598862006","0.0000955673458520323","0.015278785489499569","86192.86666666667","86042","86344","0.006724620574580816","0.0003218169149477035","0.029144221916794777"
"276","86762.44117647059","86629","86932","0.001226452939590672","0.00007025562081253156","0.009531229734420776","86495.8","86381","86653","0.0047640388482250275","0.000343216466717422","0.02458607405424118"
"277","87097.79166666667","86954","87237","0.0010286269258964846","0.00012146730296080932","0.0056170690804719925","86805.97619047618","86664","86965","0.007242313441349238","0.0002135357935912907","0.06542088836431503"
"278","87401.85294117648","87258","87560","0.0010877270127393251","0.0000628674024483189","0.006933241151273251","87128.2","86983","87281","0.004833604087859082","0.0002237955341115594","0.030785538256168365"
"279","87747.38888888889","87576","87881","0.0011250212103024954","0.00015806328156031668","0.010692394338548183","87457.56521739131","87299","87583","0.0043216632190666605","0.0004617853555828333","0.023899657651782036"
"280","88001.46428571429","87887","88193","0.001761851902431642","0.00012126687215641141","0.019097859039902687","87764.39393939394","87608","87906","0.0067726524853655564","0.00032068853033706546","0.048717208206653595"
"281","88369.06896551725","88211","88511","0.0006940929469520001","0.00007987776916706935","0.002854691818356514","88071.15625","87923","88217","0.005335460056812735","0.0003476381243672222","0.03186629340052605"
"282","88654.82352941176","88518","88812","0.002387524387706756","0.00012991231051273644","0.039203062653541565","88413.23333333334","88266","88545","0.005718519166111946","0.000360026431735605","0.022626467049121857"
"283","88991.2564102564","88831","89135","0.0012765974879118565","0.00007880730117904022","0.015922261402010918","88710.5945945946","88548","88852","0.005541899422422756","0.00037331567727960646","0.03413954749703407"
"284","89306.4857142857","89162","89443","0.000946389276733888","0.00012186965614091605","0.00573703134432435","89018.31034482758","88883","89164","0.004970993407588485","0.00023922476975712925","0.04273619130253792"
"285","89612.72","89465","89768","0.0015487849386408925","0.0001608877064427361","0.015333357267081738","89336.75","89184","89487","0.003156853843393037","0.00028287331224419177","0.017040247097611427"
