"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/loss__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/loss__MAX"
"91","28503.44","28369","28621","0.04026023179292679","0.01298394612967968","0.07700660824775696","28426","28280","28553","0.052167029057939844","0.017777658998966217","0.11931859701871872"
"92","28814.870967741936","28668","28975","0.03587666718709853","0.008251366205513477","0.07838597148656845","28752.763157894737","28579","28883","0.05462600011378527","0.01611732691526413","0.19730164110660553"
"93","29143.377358490565","28994","29289","0.03426355550522512","0.00804632343351841","0.14389574527740479","29036.423076923078","28896","29187","0.05942449897814255","0.014402380213141441","0.12377443164587021"
"94","29439.125","29305","29596","0.03924098366405815","0.010248295962810516","0.09820012748241425","29353.878048780487","29206","29513","0.052102711165278426","0.007711230777204037","0.12641191482543945"
"95","29771.533333333333","29611","29920","0.03498240812785096","0.005470667965710163","0.08129090815782547","29658.515151515152","29516","29819","0.0532416125590151","0.017122657969594002","0.10620305687189102"
"96","30080.75","29947","30229","0.025763356226629446","0.008840824477374554","0.06247638165950775","29992.342105263157","29845","30137","0.05466336707927679","0.013591529801487923","0.12052340805530548"
"97","30380.39285714286","30240","30548","0.02886611795318978","0.00898731779307127","0.06455228477716446","30307","30159","30450","0.056252314642603905","0.02650607004761696","0.11313710361719131"
"98","30717.03125","30573","30864","0.027756240393500775","0.00709110964089632","0.09194540232419968","30624.025","30480","30768","0.04079081797972321","0.00905368197709322","0.10109090805053711"
"99","31021.815789473683","30872","31175","0.028555368796285046","0.005997759290039539","0.06391008198261261","30898.583333333332","30778","31067","0.04395932867191732","0.00736892968416214","0.15921977162361145"
"100","31330.709677419356","31185","31493","0.02909738185905641","0.005147905554622412","0.06739702820777893","31237.85714285714","31086","31384","0.04661813787450748","0.010005512274801731","0.10875197499990463"
"101","31640.51851851852","31506","31791","0.01994945019207619","0.0045392862521111965","0.04388602823019028","31559.464285714286","31409","31681","0.035710646804156046","0.008565560914576054","0.09414041042327881"
"102","31962.303030303032","31821","32114","0.020723023762305576","0.006551169790327549","0.048970919102430344","31829.058823529413","31714","32010","0.037514936836326826","0.010572372004389763","0.08340424299240112"
"103","32286.470588235294","32134","32437","0.017868466832784608","0.0025747257750481367","0.0693105161190033","32175.333333333332","32040","32327","0.05055074823192424","0.012819272466003895","0.09687573462724686"
"104","32619","32449","32751","0.022663263055229827","0.006089725065976381","0.05791165679693222","32498.64864864865","32350","32637","0.040478980848313986","0.008299220353364944","0.10817638784646988"
"105","32927.26190476191","32765","33062","0.02331048164827128","0.0046868897043168545","0.07997690886259079","32807.42857142857","32659","32965","0.03400401488345649","0.008392125368118286","0.0853588804602623"
"106","33234.15909090909","33075","33386","0.018146649034778504","0.004982313606888056","0.0890197604894638","33118.36842105263","32977","33279","0.04592265115168534","0.010054214857518673","0.1218511164188385"
"107","33553.416666666664","33396","33700","0.018027776619419456","0.0035483415704220533","0.05161624401807785","33472.15625","33290","33592","0.04736408361350186","0.008611864410340786","0.12217458337545395"
"108","33891.65","33707","34014","0.02075067329860758","0.0016859270399436355","0.08502091467380524","33742.48387096774","33598","33909","0.04719656714869122","0.008875011466443539","0.12297677993774414"
"109","34148.93939393939","34024","34314","0.014111155531171597","0.003956954926252365","0.045603103935718536","34067.075","33918","34216","0.034664082468952986","0.0070593091659247875","0.07784084975719452"
"110","34474.379310344826","34341","34609","0.015457685795965893","0.005322240758687258","0.050816066563129425","34377.5","34237","34526","0.03287134125061771","0.004082818515598774","0.08001923561096191"
"111","34783.634146341465","34650","34942","0.019879464531408216","0.0025405781343579292","0.075679250061512","34682.77142857143","34545","34848","0.034205914980598856","0.007949920371174812","0.10599161684513092"
"112","35112.7027027027","34966","35267","0.019781958198527228","0.0025808641221374273","0.07068127393722534","34990.27272727273","34855","35163","0.030983118975365705","0.0065592569299042225","0.08813249319791794"
"113","35432.75","35288","35578","0.025017928241545126","0.004681887570768595","0.0791308581829071","35318.63888888889","35178","35476","0.04123653767682198","0.007628789637237787","0.1142580509185791"
"114","35761.77419354839","35601","35905","0.019886830160694736","0.003141848836094141","0.05054212361574173","35656.8125","35487","35783","0.03108808971592225","0.00926654040813446","0.0995224118232727"
"115","36075.45652173913","35912","36215","0.01752992108484487","0.003067770740017295","0.05932910367846489","35953.69047619047","35807","36105","0.03837168110268457","0.0040453532710671425","0.12266796827316284"
"116","36368.807692307695","36225","36524","0.013823615060223697","0.0018588273087516427","0.03737836331129074","36264.07142857143","36114","36420","0.04098768823314458","0.0068016997538506985","0.0864800438284874"
"117","36700.4","36565","36830","0.01313646910712123","0.0018185165245085955","0.06224319338798523","36578.28571428572","36433","36734","0.03408078446851245","0.007889357395470142","0.09033848345279694"
"118","37013.96551724138","36860","37155","0.01162248403074798","0.0019515828462317586","0.03607897832989693","36876.6129032258","36748","37041","0.035138968753838734","0.006412225309759378","0.11511218547821045"
"119","37349.38461538462","37201","37477","0.014703884914827844","0.0015480716247111559","0.05235573649406433","37212.25806451613","37056","37339","0.03927052559541358","0.003666846314445138","0.10394258052110672"
"120","37634.27272727273","37494","37788","0.01210865782658485","0.0016769540961831808","0.0537458173930645","37537.794117647056","37367","37662","0.03657372465685887","0.004397363401949406","0.09936738759279251"
"121","37968.32258064516","37822","38108","0.014966873399492714","0.001504147076047957","0.07845740765333176","37828.2","37680","37976","0.03853401473412911","0.0045556193217635155","0.07335386425256729"
