"epoch","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - _step__MAX","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MIN","mobilenet_Task Activation Function_all relu_Monday_17_March_2025_01h_35m_50s - Train/weight_norm__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - _step__MAX","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MIN","mobilenet_Task Activation Function_4,5,6,7,8,9,10_Monday_17_March_2025_01h_35m_47s - Train/weight_norm__MAX"
"45","27856","27545","28167","5.899354540384733","5.893064498901367","5.9059553146362305","27856","27545","28167","5.289089360298255","5.286606311798096","5.291369915008545"
"46","28482","28171","28793","5.89805641082617","5.89399528503418","5.9060235023498535","28482","28171","28793","5.292682442909632","5.283727645874023","5.302862644195557"
"47","29108","28797","29419","5.903528603223654","5.898638725280762","5.908064842224121","29108","28797","29419","5.2965240111717815","5.292399883270264","5.302384376525879"
"48","29734","29423","30045","5.894804635109046","5.889233112335205","5.903989791870117","29734","29423","30045","5.293507044131939","5.288381099700928","5.300473690032959"
"49","30360","30049","30671","5.886467571441944","5.881189346313477","5.893856048583984","30360","30049","30671","5.295894222381787","5.291906833648682","5.3023271560668945"
"50","30986","30675","31297","5.879839294996017","5.869412422180176","5.8935747146606445","30986","30675","31297","5.302187054585188","5.296300888061523","5.310674667358398"
"51","31612","31301","31923","5.860442944062062","5.856208801269531","5.86937952041626","31612","31301","31923","5.311101948603605","5.307096004486084","5.316096305847168"
"52","32238","31927","32549","5.857389188729799","5.852479934692383","5.861324787139893","32238","31927","32549","5.303697297206292","5.296930313110352","5.315914630889893"
"53","32864","32553","33175","5.854224116374285","5.851680755615234","5.860406875610352","32864","32553","33175","5.294009251472278","5.287339210510254","5.300807952880859"
"54","33490","33179","33801","5.8467496786362085","5.843336582183838","5.855620384216309","33490","33179","33801","5.283486185929714","5.277607440948486","5.300424098968506"
"55","34116","33805","34427","5.835222371113606","5.831092357635498","5.843822002410889","34116","33805","34427","5.29857359177027","5.292845726013184","5.302395343780518"
"56","34742","34431","35053","5.834024731929485","5.829719066619873","5.839329719543457","34742","34431","35053","5.298023978869121","5.292283535003662","5.304004192352295"
"57","35368","35057","35679","5.82685344799971","5.822471618652344","5.836672306060791","35368","35057","35679","5.295769251309908","5.28916072845459","5.301888465881348"
"58","35994","35683","36305","5.821786467845623","5.818660259246826","5.8284220695495605","35994","35683","36305","5.295601091323754","5.288562297821045","5.3032097816467285"
"59","36620","36309","36931","5.821459476764385","5.818377494812012","5.825584888458252","36620","36309","36931","5.293210055583563","5.288794040679932","5.302069187164307"
"60","37246","36935","37557","5.8079077784831705","5.803886413574219","5.820181846618652","37246","36935","37557","5.281706328575428","5.274929046630859","5.29245662689209"
"61","37872","37561","38183","5.7982563850207205","5.796412467956543","5.803814888000488","37872","37561","38183","5.277796104932443","5.272775173187256","5.2824482917785645"
"62","38498","38187","38809","5.796171857760503","5.792448997497559","5.800326824188232","38498","38187","38809","5.281792704875652","5.277993679046631","5.290150165557861"
"63","39124","38813","39435","5.791926825657869","5.787684440612793","5.79637336730957","39124","38813","39435","5.275831049833542","5.268857955932617","5.290090560913086"
"64","39750","39439","40061","5.7915576085066185","5.7871994972229","5.79815673828125","39750","39439","40061","5.278846749892602","5.271800994873047","5.288994312286377"
"65","40376","40065","40687","5.798501503773225","5.794760704040527","5.8030171394348145","40376","40065","40687","5.286674002806346","5.281737327575684","5.291366100311279"
"66","41002","40691","41313","5.7952776321998005","5.790163040161133","5.802273750305176","41002","40691","41313","5.2744640035507","5.26649284362793","5.283059120178223"
"67","41628","41317","41939","5.79481483117128","5.791686058044434","5.801210880279541","41628","41317","41939","5.263795571449475","5.257293701171875","5.278159141540527"
"68","42254","41943","42565","5.796658389079265","5.7950286865234375","5.801494598388672","42254","41943","42565","5.267651050518721","5.260239601135254","5.274992942810059"
"69","42880","42569","43191","5.790217569241157","5.788305282592773","5.796523094177246","42880","42569","43191","5.259976607102614","5.254823207855225","5.265538692474365"
"70","43506","43195","43817","5.784711299798428","5.779719829559326","5.7882161140441895","43506","43195","43817","5.260298403409811","5.255236625671387","5.264678001403809"
"71","44132","43821","44443","5.776594015268179","5.771396636962891","5.787369251251221","44132","43821","44443","5.246161546462622","5.240607261657715","5.255228042602539"
"72","44758","44447","45069","5.7681336754407635","5.764911651611328","5.776089668273926","44758","44447","45069","5.239024322766524","5.23352575302124","5.244023323059082"
"73","45384","45073","45695","5.756428223389846","5.752058506011963","5.766861438751221","45384","45073","45695","5.238239538975251","5.234102725982666","5.243234634399414"
"74","46010","45699","46321","5.745537036504501","5.739499568939209","5.756353855133057","46010","45699","46321","5.23233870206735","5.22551155090332","5.241268634796143"
"75","46636","46325","46947","5.741080838900346","5.73785400390625","5.7464776039123535","46636","46325","46947","5.22380374945127","5.21690034866333","5.235294818878174"
"76","47262","46951","47573","5.739918740896078","5.737039089202881","5.746664524078369","47262","46951","47573","5.218184613264524","5.213336944580078","5.222657203674316"
"77","47888","47577","48199","5.7308604992353","5.724563121795654","5.739278316497803","47888","47577","48199","5.212734749683967","5.2059478759765625","5.222434043884277"
"78","48514","48203","48825","5.722686746181586","5.718874931335449","5.732790946960449","48514","48203","48825","5.222580802746308","5.220064640045166","5.225029945373535"
"79","49140","48829","49451","5.715915464437925","5.711567401885986","5.72001314163208","49140","48829","49451","5.20821338891983","5.201318740844727","5.224752426147461"
"80","49766","49455","50077","5.721877860717284","5.713080406188965","5.732593059539795","49766","49455","50077","5.2029431248322515","5.197912693023682","5.206796169281006"
