"Step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - Train/loss__MAX","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MIN","mobilenet_Task Scheduler_False_Saturday_15_March_2025_11h_33m_20s - Train/loss__MAX"
"472","3.5439226627349854","3.5439226627349854","3.5439226627349854","","",""
"477","","","","3.5246973037719727","3.5246973037719727","3.5246973037719727"
"478","","","","3.8243117332458496","3.8243117332458496","3.8243117332458496"
"485","3.4463119506835938","3.4463119506835938","3.4463119506835938","3.649477481842041","3.649477481842041","3.649477481842041"
"488","","","","3.5769777297973633","3.5769777297973633","3.5769777297973633"
"500","3.8532955646514893","3.8532955646514893","3.8532955646514893","","",""
"502","","","","3.4356982707977295","3.4356982707977295","3.4356982707977295"
"503","3.6920111179351807","3.6920111179351807","3.6920111179351807","","",""
"504","3.522034168243408","3.522034168243408","3.522034168243408","","",""
"507","","","","3.5525026321411133","3.5525026321411133","3.5525026321411133"
"509","3.5401241779327393","3.5401241779327393","3.5401241779327393","","",""
"510","","","","3.549896001815796","3.549896001815796","3.549896001815796"
"515","3.6652987003326416","3.6652987003326416","3.6652987003326416","","",""
"519","3.658964157104492","3.658964157104492","3.658964157104492","","",""
"522","","","","3.745668649673462","3.745668649673462","3.745668649673462"
"540","3.539494276046753","3.539494276046753","3.539494276046753","","",""
"543","3.5834202766418457","3.5834202766418457","3.5834202766418457","","",""
"560","","","","3.4032747745513916","3.4032747745513916","3.4032747745513916"
"561","","","","3.387504816055298","3.387504816055298","3.387504816055298"
"576","3.5882294178009033","3.5882294178009033","3.5882294178009033","3.7366104125976562","3.7366104125976562","3.7366104125976562"
"583","","","","3.4726805686950684","3.4726805686950684","3.4726805686950684"
"584","","","","3.4617257118225098","3.4617257118225098","3.4617257118225098"
"588","","","","3.2429049015045166","3.2429049015045166","3.2429049015045166"
"592","3.5103039741516113","3.5103039741516113","3.5103039741516113","","",""
"597","","","","3.63616681098938","3.63616681098938","3.63616681098938"
"599","3.4396767616271973","3.4396767616271973","3.4396767616271973","","",""
"605","","","","3.4591307640075684","3.4591307640075684","3.4591307640075684"
"607","","","","3.48669695854187","3.48669695854187","3.48669695854187"
"618","","","","3.5162100791931152","3.5162100791931152","3.5162100791931152"
"619","3.503305196762085","3.503305196762085","3.503305196762085","","",""
"622","","","","3.48518443107605","3.48518443107605","3.48518443107605"
"623","","","","3.6554110050201416","3.6554110050201416","3.6554110050201416"
"631","","","","3.2821168899536133","3.2821168899536133","3.2821168899536133"
"633","3.5526885986328125","3.5526885986328125","3.5526885986328125","","",""
"645","3.5025556087493896","3.5025556087493896","3.5025556087493896","","",""
"650","","","","3.6183063983917236","3.6183063983917236","3.6183063983917236"
"651","3.2471566200256348","3.2471566200256348","3.2471566200256348","","",""
"654","","","","3.4779274463653564","3.4779274463653564","3.4779274463653564"
"655","3.3164820671081543","3.3164820671081543","3.3164820671081543","","",""
"659","3.3733112812042236","3.3733112812042236","3.3733112812042236","","",""
"663","3.392225980758667","3.392225980758667","3.392225980758667","","",""
"667","3.4286105632781982","3.4286105632781982","3.4286105632781982","","",""
"668","3.394111394882202","3.394111394882202","3.394111394882202","","",""
"671","3.360856533050537","3.360856533050537","3.360856533050537","","",""
"673","3.5160248279571533","3.5160248279571533","3.5160248279571533","","",""
"675","","","","3.2391421794891357","3.2391421794891357","3.2391421794891357"
"682","","","","3.218123197555542","3.218123197555542","3.218123197555542"
"683","3.5486085414886475","3.5486085414886475","3.5486085414886475","","",""
"696","","","","3.3530733585357666","3.3530733585357666","3.3530733585357666"
"699","3.216862201690674","3.216862201690674","3.216862201690674","3.215926170349121","3.215926170349121","3.215926170349121"
"707","3.3227438926696777","3.3227438926696777","3.3227438926696777","3.573275327682495","3.573275327682495","3.573275327682495"
"710","","","","3.3944928646087646","3.3944928646087646","3.3944928646087646"
"711","","","","3.3857972621917725","3.3857972621917725","3.3857972621917725"
"712","3.4771883487701416","3.4771883487701416","3.4771883487701416","","",""
"728","3.3520898818969727","3.3520898818969727","3.3520898818969727","","",""
"740","3.540135145187378","3.540135145187378","3.540135145187378","3.3247406482696533","3.3247406482696533","3.3247406482696533"
"744","","","","3.0573017597198486","3.0573017597198486","3.0573017597198486"
"763","","","","3.288604259490967","3.288604259490967","3.288604259490967"
"767","","","","3.537648916244507","3.537648916244507","3.537648916244507"
"770","3.410811424255371","3.410811424255371","3.410811424255371","","",""
"775","","","","3.488091230392456","3.488091230392456","3.488091230392456"
"780","","","","3.2800803184509277","3.2800803184509277","3.2800803184509277"
"784","3.281395435333252","3.281395435333252","3.281395435333252","","",""
"788","","","","3.1356842517852783","3.1356842517852783","3.1356842517852783"
"792","","","","3.315267324447632","3.315267324447632","3.315267324447632"
"793","3.2802743911743164","3.2802743911743164","3.2802743911743164","3.405982494354248","3.405982494354248","3.405982494354248"
"796","","","","3.2155089378356934","3.2155089378356934","3.2155089378356934"
"797","3.552051544189453","3.552051544189453","3.552051544189453","3.36816143989563","3.36816143989563","3.36816143989563"
"799","","","","3.396914482116699","3.396914482116699","3.396914482116699"
"807","3.2971582412719727","3.2971582412719727","3.2971582412719727","","",""
"809","","","","3.3243608474731445","3.3243608474731445","3.3243608474731445"
"813","","","","3.2152628898620605","3.2152628898620605","3.2152628898620605"
"826","","","","3.2994117736816406","3.2994117736816406","3.2994117736816406"
"830","3.397188901901245","3.397188901901245","3.397188901901245","","",""
"836","3.4526686668395996","3.4526686668395996","3.4526686668395996","","",""
"847","","","","3.1622815132141113","3.1622815132141113","3.1622815132141113"
"855","3.242398977279663","3.242398977279663","3.242398977279663","","",""
"858","3.2919247150421143","3.2919247150421143","3.2919247150421143","","",""
"863","3.3344573974609375","3.3344573974609375","3.3344573974609375","","",""
"877","3.233471632003784","3.233471632003784","3.233471632003784","","",""
"884","","","","3.375061511993408","3.375061511993408","3.375061511993408"
"885","3.222142457962036","3.222142457962036","3.222142457962036","","",""
"888","3.4498021602630615","3.4498021602630615","3.4498021602630615","","",""
"893","3.208658218383789","3.208658218383789","3.208658218383789","","",""
"901","3.2329154014587402","3.2329154014587402","3.2329154014587402","","",""
"903","","","","3.1760358810424805","3.1760358810424805","3.1760358810424805"
"906","3.1624274253845215","3.1624274253845215","3.1624274253845215","","",""
"910","","","","3.1332404613494873","3.1332404613494873","3.1332404613494873"
"911","3.3052420616149902","3.3052420616149902","3.3052420616149902","","",""
"918","","","","3.355708599090576","3.355708599090576","3.355708599090576"
"919","3.004512071609497","3.004512071609497","3.004512071609497","","",""
"920","3.4570367336273193","3.4570367336273193","3.4570367336273193","","",""
"926","","","","3.345402956008911","3.345402956008911","3.345402956008911"
"927","","","","3.277442216873169","3.277442216873169","3.277442216873169"
"928","","","","3.1153881549835205","3.1153881549835205","3.1153881549835205"
"929","3.2096617221832275","3.2096617221832275","3.2096617221832275","","",""
"958","3.3273966312408447","3.3273966312408447","3.3273966312408447","","",""
"962","3.1584112644195557","3.1584112644195557","3.1584112644195557","","",""
"966","","","","3.2529067993164062","3.2529067993164062","3.2529067993164062"
"970","","","","3.1612532138824463","3.1612532138824463","3.1612532138824463"
"988","3.167069911956787","3.167069911956787","3.167069911956787","","",""
"993","","","","3.3939225673675537","3.3939225673675537","3.3939225673675537"
"994","3.2653605937957764","3.2653605937957764","3.2653605937957764","","",""
"1002","","","","3.356276512145996","3.356276512145996","3.356276512145996"
"1006","3.188277006149292","3.188277006149292","3.188277006149292","","",""
"1012","","","","3.2188620567321777","3.2188620567321777","3.2188620567321777"
"1013","","","","3.1163527965545654","3.1163527965545654","3.1163527965545654"
"1023","3.2178955078125","3.2178955078125","3.2178955078125","","",""
"1038","","","","3.0237066745758057","3.0237066745758057","3.0237066745758057"
"1043","3.267679214477539","3.267679214477539","3.267679214477539","","",""
"1047","","","","2.9861021041870117","2.9861021041870117","2.9861021041870117"
"1052","","","","3.3345394134521484","3.3345394134521484","3.3345394134521484"
"1057","","","","3.016218900680542","3.016218900680542","3.016218900680542"
"1068","","","","2.999753713607788","2.999753713607788","2.999753713607788"
"1069","","","","3.3266682624816895","3.3266682624816895","3.3266682624816895"
"1077","","","","3.0299527645111084","3.0299527645111084","3.0299527645111084"
"1085","","","","3.386901617050171","3.386901617050171","3.386901617050171"
"1090","3.208993673324585","3.208993673324585","3.208993673324585","","",""
"1098","3.0931828022003174","3.0931828022003174","3.0931828022003174","3.1332356929779053","3.1332356929779053","3.1332356929779053"
"1101","3.2983596324920654","3.2983596324920654","3.2983596324920654","","",""
"1102","3.256974935531616","3.256974935531616","3.256974935531616","","",""
"1107","3.144469976425171","3.144469976425171","3.144469976425171","3.132558584213257","3.132558584213257","3.132558584213257"
"1112","","","","3.151637554168701","3.151637554168701","3.151637554168701"
"1114","","","","3.320362091064453","3.320362091064453","3.320362091064453"
"1115","","","","3.126479387283325","3.126479387283325","3.126479387283325"
"1117","3.0426721572875977","3.0426721572875977","3.0426721572875977","","",""
"1122","3.0072460174560547","3.0072460174560547","3.0072460174560547","","",""
"1127","2.926631450653076","2.926631450653076","2.926631450653076","","",""
