"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/Accuracy__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/Accuracy__MAX"
"26","16324","16324","16324","0.5704999566078186","0.5704999566078186","0.5704999566078186","16324","16324","16324","0.5285750031471252","0.5285750031471252","0.5285750031471252"
"27","16952","16952","16952","0.5738250017166138","0.5738250017166138","0.5738250017166138","16952","16952","16952","0.5360000133514404","0.5360000133514404","0.5360000133514404"
"28","17580","17580","17580","0.579800009727478","0.579800009727478","0.579800009727478","17580","17580","17580","0.5357249975204468","0.5357249975204468","0.5357249975204468"
"29","18208","18208","18208","0.5841000080108643","0.5841000080108643","0.5841000080108643","18208","18208","18208","0.539775013923645","0.539775013923645","0.539775013923645"
"30","18836","18836","18836","0.5878999829292297","0.5878999829292297","0.5878999829292297","18836","18836","18836","0.5398499965667725","0.5398499965667725","0.5398499965667725"
"31","19464","19464","19464","0.5894500017166138","0.5894500017166138","0.5894500017166138","19464","19464","19464","0.5450249910354614","0.5450249910354614","0.5450249910354614"
"32","20092","20092","20092","0.59375","0.59375","0.59375","20092","20092","20092","0.5458750128746033","0.5458750128746033","0.5458750128746033"
"33","20720","20720","20720","0.5956000089645386","0.5956000089645386","0.5956000089645386","20720","20720","20720","0.5514249801635742","0.5514249801635742","0.5514249801635742"
"34","21348","21348","21348","0.5992249846458435","0.5992249846458435","0.5992249846458435","21348","21348","21348","0.5550000071525574","0.5550000071525574","0.5550000071525574"
"35","21976","21976","21976","0.5975499749183655","0.5975499749183655","0.5975499749183655","21976","21976","21976","0.56107497215271","0.56107497215271","0.56107497215271"
"36","22604","22604","22604","0.6055499911308289","0.6055499911308289","0.6055499911308289","22604","22604","22604","0.5585749745368958","0.5585749745368958","0.5585749745368958"
"37","23232","23232","23232","0.6054750084877014","0.6054750084877014","0.6054750084877014","23232","23232","23232","0.5585249662399292","0.5585249662399292","0.5585249662399292"
"38","23860","23860","23860","0.6039999723434448","0.6039999723434448","0.6039999723434448","23860","23860","23860","0.5636749863624573","0.5636749863624573","0.5636749863624573"
"39","24488","24488","24488","0.6076749563217163","0.6076749563217163","0.6076749563217163","24488","24488","24488","0.564424991607666","0.564424991607666","0.564424991607666"
"40","25116","25116","25116","0.6114499568939209","0.6114499568939209","0.6114499568939209","25116","25116","25116","0.5692499876022339","0.5692499876022339","0.5692499876022339"
"41","25744","25744","25744","0.6179749965667725","0.6179749965667725","0.6179749965667725","25744","25744","25744","0.5678749680519104","0.5678749680519104","0.5678749680519104"
"42","26372","26372","26372","0.6166999936103821","0.6166999936103821","0.6166999936103821","26372","26372","26372","0.5687999725341797","0.5687999725341797","0.5687999725341797"
"43","27000","27000","27000","0.6195749640464783","0.6195749640464783","0.6195749640464783","27000","27000","27000","0.5779500007629395","0.5779500007629395","0.5779500007629395"
"44","27628","27628","27628","0.6258249878883362","0.6258249878883362","0.6258249878883362","27628","27628","27628","0.5785999894142151","0.5785999894142151","0.5785999894142151"
"45","28256","28256","28256","0.6256749629974365","0.6256749629974365","0.6256749629974365","28256","28256","28256","0.5784249901771545","0.5784249901771545","0.5784249901771545"
"46","28884","28884","28884","0.6284250020980835","0.6284250020980835","0.6284250020980835","28884","28884","28884","0.5802249908447266","0.5802249908447266","0.5802249908447266"
"47","29512","29512","29512","0.6309999823570251","0.6309999823570251","0.6309999823570251","29512","29512","29512","0.5823999643325806","0.5823999643325806","0.5823999643325806"
"48","30140","30140","30140","0.6355249881744385","0.6355249881744385","0.6355249881744385","30140","30140","30140","0.5848999619483948","0.5848999619483948","0.5848999619483948"
"49","30768","30768","30768","0.6348499655723572","0.6348499655723572","0.6348499655723572","30768","30768","30768","0.5869249701499939","0.5869249701499939","0.5869249701499939"
"50","31396","31396","31396","0.6363750100135803","0.6363750100135803","0.6363750100135803","31396","31396","31396","0.5878250002861023","0.5878250002861023","0.5878250002861023"
"51","32024","32024","32024","0.6370750069618225","0.6370750069618225","0.6370750069618225","32024","32024","32024","0.5904499888420105","0.5904499888420105","0.5904499888420105"
"52","32652","32652","32652","0.641124963760376","0.641124963760376","0.641124963760376","32652","32652","32652","0.5924249887466431","0.5924249887466431","0.5924249887466431"
"53","33280","33280","33280","0.6417250037193298","0.6417250037193298","0.6417250037193298","33280","33280","33280","0.5952500104904175","0.5952500104904175","0.5952500104904175"
"54","33908","33908","33908","0.6448249816894531","0.6448249816894531","0.6448249816894531","33908","33908","33908","0.5944749712944031","0.5944749712944031","0.5944749712944031"
"55","34536","34536","34536","0.643750011920929","0.643750011920929","0.643750011920929","34536","34536","34536","0.5968499779701233","0.5968499779701233","0.5968499779701233"
"56","35164","35164","35164","0.6456999778747559","0.6456999778747559","0.6456999778747559","35164","35164","35164","0.5963749885559082","0.5963749885559082","0.5963749885559082"
"57","35792","35792","35792","0.6490499973297119","0.6490499973297119","0.6490499973297119","35792","35792","35792","0.604449987411499","0.604449987411499","0.604449987411499"
"58","36420","36420","36420","0.642924964427948","0.642924964427948","0.642924964427948","36420","36420","36420","0.6019499897956848","0.6019499897956848","0.6019499897956848"
"59","37048","37048","37048","0.6499999761581421","0.6499999761581421","0.6499999761581421","37048","37048","37048","0.606124997138977","0.606124997138977","0.606124997138977"
"60","37676","37676","37676","0.6523999571800232","0.6523999571800232","0.6523999571800232","37676","37676","37676","0.6059499979019165","0.6059499979019165","0.6059499979019165"
"61","38304","38304","38304","0.6520999670028687","0.6520999670028687","0.6520999670028687","38304","38304","38304","0.6067749857902527","0.6067749857902527","0.6067749857902527"
"62","38932","38932","38932","0.6536749601364136","0.6536749601364136","0.6536749601364136","38932","38932","38932","0.6112499833106995","0.6112499833106995","0.6112499833106995"
"63","39560","39560","39560","0.6591249704360962","0.6591249704360962","0.6591249704360962","39560","39560","39560","0.609624981880188","0.609624981880188","0.609624981880188"
"64","40188","40188","40188","0.6568250060081482","0.6568250060081482","0.6568250060081482","40188","40188","40188","0.6085500121116638","0.6085500121116638","0.6085500121116638"
"65","40816","40816","40816","0.6577999591827393","0.6577999591827393","0.6577999591827393","40816","40816","40816","0.6160500049591064","0.6160500049591064","0.6160500049591064"
"66","41444","41444","41444","0.6620749831199646","0.6620749831199646","0.6620749831199646","41444","41444","41444","0.6176999807357788","0.6176999807357788","0.6176999807357788"
"67","42072","42072","42072","0.6627500057220459","0.6627500057220459","0.6627500057220459","42072","42072","42072","0.6155250072479248","0.6155250072479248","0.6155250072479248"
"68","42700","42700","42700","0.6665499806404114","0.6665499806404114","0.6665499806404114","42700","42700","42700","0.6236749887466431","0.6236749887466431","0.6236749887466431"
"69","43328","43328","43328","0.6640499830245972","0.6640499830245972","0.6640499830245972","43328","43328","43328","0.6209999918937683","0.6209999918937683","0.6209999918937683"
"70","43956","43956","43956","0.665524959564209","0.665524959564209","0.665524959564209","43956","43956","43956","0.6232999563217163","0.6232999563217163","0.6232999563217163"
"71","44584","44584","44584","0.668524980545044","0.668524980545044","0.668524980545044","44584","44584","44584","0.6227499842643738","0.6227499842643738","0.6227499842643738"
"72","45212","45212","45212","0.6730499863624573","0.6730499863624573","0.6730499863624573","45212","45212","45212","0.6247249841690063","0.6247249841690063","0.6247249841690063"
"73","45840","45840","45840","0.6695249676704407","0.6695249676704407","0.6695249676704407","45840","45840","45840","0.6249249577522278","0.6249249577522278","0.6249249577522278"
"74","46468","46468","46468","0.6712499856948853","0.6712499856948853","0.6712499856948853","46468","46468","46468","0.6322000026702881","0.6322000026702881","0.6322000026702881"
"75","47096","47096","47096","0.6738249659538269","0.6738249659538269","0.6738249659538269","47096","47096","47096","0.6348249912261963","0.6348249912261963","0.6348249912261963"
"76","47724","47724","47724","0.6734749674797058","0.6734749674797058","0.6734749674797058","47724","47724","47724","0.6349250078201294","0.6349250078201294","0.6349250078201294"
"77","48352","48352","48352","0.6779249906539917","0.6779249906539917","0.6779249906539917","48352","48352","48352","0.6342250108718872","0.6342250108718872","0.6342250108718872"
"78","48980","48980","48980","0.6761749982833862","0.6761749982833862","0.6761749982833862","48980","48980","48980","0.6390249729156494","0.6390249729156494","0.6390249729156494"
"79","49608","49608","49608","0.6764749884605408","0.6764749884605408","0.6764749884605408","49608","49608","49608","0.6358000040054321","0.6358000040054321","0.6358000040054321"
"80","50236","50236","50236","0.6766249537467957","0.6766249537467957","0.6766249537467957","50236","50236","50236","0.6447749733924866","0.6447749733924866","0.6447749733924866"
"81","50864","50864","50864","0.6783999800682068","0.6783999800682068","0.6783999800682068","50864","50864","50864","0.6423249840736389","0.6423249840736389","0.6423249840736389"
"82","51492","51492","51492","0.6843999624252319","0.6843999624252319","0.6843999624252319","51492","51492","51492","0.6384249925613403","0.6384249925613403","0.6384249925613403"
"83","52120","52120","52120","0.6829749941825867","0.6829749941825867","0.6829749941825867","52120","52120","52120","0.6418499946594238","0.6418499946594238","0.6418499946594238"
"84","52748","52748","52748","0.6802499890327454","0.6802499890327454","0.6802499890327454","52748","52748","52748","0.6444000005722046","0.6444000005722046","0.6444000005722046"
"85","53376","53376","53376","0.6868249773979187","0.6868249773979187","0.6868249773979187","53376","53376","53376","0.6465749740600586","0.6465749740600586","0.6465749740600586"
"86","54004","54004","54004","0.6869249939918518","0.6869249939918518","0.6869249939918518","54004","54004","54004","0.6503750085830688","0.6503750085830688","0.6503750085830688"
"87","54632","54632","54632","0.6862249970436096","0.6862249970436096","0.6862249970436096","54632","54632","54632","0.6497499942779541","0.6497499942779541","0.6497499942779541"
"88","55260","55260","55260","0.692550003528595","0.692550003528595","0.692550003528595","55260","55260","55260","0.6514250040054321","0.6514250040054321","0.6514250040054321"
"89","55888","55888","55888","0.6866499781608582","0.6866499781608582","0.6866499781608582","55888","55888","55888","0.6504499912261963","0.6504499912261963","0.6504499912261963"
"90","56516","56516","56516","0.6917749643325806","0.6917749643325806","0.6917749643325806","56516","56516","56516","0.6541999578475952","0.6541999578475952","0.6541999578475952"
"91","57144","57144","57144","0.6967999935150146","0.6967999935150146","0.6967999935150146","57144","57144","57144","0.6599249839782715","0.6599249839782715","0.6599249839782715"
"92","57772","57772","57772","0.6972000002861023","0.6972000002861023","0.6972000002861023","57772","57772","57772","0.6559000015258789","0.6559000015258789","0.6559000015258789"
"93","58400","58400","58400","0.6938499808311462","0.6938499808311462","0.6938499808311462","58400","58400","58400","0.6585749983787537","0.6585749983787537","0.6585749983787537"
"94","59028","59028","59028","0.6930750012397766","0.6930750012397766","0.6930750012397766","59028","59028","59028","0.6595500111579895","0.6595500111579895","0.6595500111579895"
"95","59656","59656","59656","0.703125","0.703125","0.703125","59656","59656","59656","0.6585249900817871","0.6585249900817871","0.6585249900817871"
"96","60284","60284","60284","0.7006250023841858","0.7006250023841858","0.7006250023841858","60284","60284","60284","0.6633999943733215","0.6633999943733215","0.6633999943733215"
"97","60912","60912","60912","0.7025749683380127","0.7025749683380127","0.7025749683380127","60912","60912","60912","0.6631749868392944","0.6631749868392944","0.6631749868392944"
"98","61540","61540","61540","0.6994749903678894","0.6994749903678894","0.6994749903678894","61540","61540","61540","0.6643999814987183","0.6643999814987183","0.6643999814987183"
"99","62168","62168","62168","0.7059999704360962","0.7059999704360962","0.7059999704360962","62168","62168","62168","0.6705499887466431","0.6705499887466431","0.6705499887466431"
