"epoch","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - _step__MAX","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MIN","mobilenet_Task Scheduler_True_Wednesday_19_March_2025_14h_40m_52s - Train/Accuracy__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - _step__MAX","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MIN","mobilenet_Task Scheduler_False_Wednesday_19_March_2025_14h_40m_36s - Train/Accuracy__MAX"
"23","7242","7242","7242","0.6371249556541443","0.6371249556541443","0.6371249556541443","7220","7220","7220","0.6261000037193298","0.6261000037193298","0.6261000037193298"
"24","7557","7557","7557","0.6493499875068665","0.6493499875068665","0.6493499875068665","7534","7534","7534","0.63714998960495","0.63714998960495","0.63714998960495"
"25","7872","7872","7872","0.6608249545097351","0.6608249545097351","0.6608249545097351","7848","7848","7848","0.6487749814987183","0.6487749814987183","0.6487749814987183"
"26","8187","8187","8187","0.6702249646186829","0.6702249646186829","0.6702249646186829","8162","8162","8162","0.6626499891281128","0.6626499891281128","0.6626499891281128"
"27","8502","8502","8502","0.6864999532699585","0.6864999532699585","0.6864999532699585","8476","8476","8476","0.6783499717712402","0.6783499717712402","0.6783499717712402"
"28","8817","8817","8817","0.6979999542236328","0.6979999542236328","0.6979999542236328","8790","8790","8790","0.6864999532699585","0.6864999532699585","0.6864999532699585"
"29","9132","9132","9132","0.7092750072479248","0.7092750072479248","0.7092750072479248","9104","9104","9104","0.7003499865531921","0.7003499865531921","0.7003499865531921"
"30","9447","9447","9447","0.720924973487854","0.720924973487854","0.720924973487854","9418","9418","9418","0.7116499543190002","0.7116499543190002","0.7116499543190002"
"31","9762","9762","9762","0.7289999723434448","0.7289999723434448","0.7289999723434448","9732","9732","9732","0.7258749604225159","0.7258749604225159","0.7258749604225159"
"32","10077","10077","10077","0.7425249814987183","0.7425249814987183","0.7425249814987183","10046","10046","10046","0.7385749816894531","0.7385749816894531","0.7385749816894531"
"33","10392","10392","10392","0.7534499764442444","0.7534499764442444","0.7534499764442444","10360","10360","10360","0.7530499696731567","0.7530499696731567","0.7530499696731567"
"34","10707","10707","10707","0.7675749659538269","0.7675749659538269","0.7675749659538269","10674","10674","10674","0.7669999599456787","0.7669999599456787","0.7669999599456787"
"35","11022","11022","11022","0.7853749990463257","0.7853749990463257","0.7853749990463257","10988","10988","10988","0.7811749577522278","0.7811749577522278","0.7811749577522278"
"36","11337","11337","11337","0.7940999865531921","0.7940999865531921","0.7940999865531921","11302","11302","11302","0.790024995803833","0.790024995803833","0.790024995803833"
"37","11652","11652","11652","0.8051249980926514","0.8051249980926514","0.8051249980926514","11616","11616","11616","0.8039249777793884","0.8039249777793884","0.8039249777793884"
"38","11967","11967","11967","0.816224992275238","0.816224992275238","0.816224992275238","11930","11930","11930","0.8166999816894531","0.8166999816894531","0.8166999816894531"
"39","12282","12282","12282","0.8262999653816223","0.8262999653816223","0.8262999653816223","12244","12244","12244","0.8209249973297119","0.8209249973297119","0.8209249973297119"
"40","12597","12597","12597","0.8354499936103821","0.8354499936103821","0.8354499936103821","12558","12558","12558","0.831849992275238","0.831849992275238","0.831849992275238"
"41","12912","12912","12912","0.847000002861023","0.847000002861023","0.847000002861023","12872","12872","12872","0.8410999774932861","0.8410999774932861","0.8410999774932861"
"42","13227","13227","13227","0.8544999957084656","0.8544999957084656","0.8544999957084656","13186","13186","13186","0.8513249754905701","0.8513249754905701","0.8513249754905701"
"43","13542","13542","13542","0.8617500066757202","0.8617500066757202","0.8617500066757202","13500","13500","13500","0.8617500066757202","0.8617500066757202","0.8617500066757202"
"44","13857","13857","13857","0.8671999573707581","0.8671999573707581","0.8671999573707581","13814","13814","13814","0.8750749826431274","0.8750749826431274","0.8750749826431274"
"45","14172","14172","14172","0.8740999698638916","0.8740999698638916","0.8740999698638916","14128","14128","14128","0.8782749772071838","0.8782749772071838","0.8782749772071838"
"46","14487","14487","14487","0.8829999566078186","0.8829999566078186","0.8829999566078186","14442","14442","14442","0.8817999958992004","0.8817999958992004","0.8817999958992004"
"47","14802","14802","14802","0.8918499946594238","0.8918499946594238","0.8918499946594238","14756","14756","14756","0.8869249820709229","0.8869249820709229","0.8869249820709229"
"48","15117","15117","15117","0.8937499523162842","0.8937499523162842","0.8937499523162842","15070","15070","15070","0.8987499475479126","0.8987499475479126","0.8987499475479126"
"49","15432","15432","15432","0.9056499600410461","0.9056499600410461","0.9056499600410461","15384","15384","15384","0.9061749577522278","0.9061749577522278","0.9061749577522278"
