"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MAX"
"35","11022","11022","11022","0.5951499938964844","0.5951499938964844","0.5951499938964844","11022","11022","11022","0.7441499829292297","0.7441499829292297","0.7441499829292297"
"36","11337","11337","11337","0.5999000072479248","0.5999000072479248","0.5999000072479248","11337","11337","11337","0.7544249892234802","0.7544249892234802","0.7544249892234802"
"37","11652","11652","11652","0.6016749739646912","0.6016749739646912","0.6016749739646912","11652","11652","11652","0.7649499773979187","0.7649499773979187","0.7649499773979187"
"38","11967","11967","11967","0.6053749918937683","0.6053749918937683","0.6053749918937683","11967","11967","11967","0.767799973487854","0.767799973487854","0.767799973487854"
"39","12282","12282","12282","0.6038500070571899","0.6038500070571899","0.6038500070571899","12282","12282","12282","0.7814499735832214","0.7814499735832214","0.7814499735832214"
"40","12597","12597","12597","0.6122999787330627","0.6122999787330627","0.6122999787330627","12597","12597","12597","0.7865999937057495","0.7865999937057495","0.7865999937057495"
"41","12912","12912","12912","0.6164249777793884","0.6164249777793884","0.6164249777793884","12912","12912","12912","0.7913500070571899","0.7913500070571899","0.7913500070571899"
"42","13227","13227","13227","0.6132000088691711","0.6132000088691711","0.6132000088691711","13227","13227","13227","0.8019499778747559","0.8019499778747559","0.8019499778747559"
"43","13542","13542","13542","0.6158249974250793","0.6158249974250793","0.6158249974250793","13542","13542","13542","0.8107749819755554","0.8107749819755554","0.8107749819755554"
"44","13857","13857","13857","0.614674985408783","0.614674985408783","0.614674985408783","13857","13857","13857","0.8143749833106995","0.8143749833106995","0.8143749833106995"
