"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/Accuracy__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/Accuracy__MAX"
"137","43152","43152","43152","0.7669749855995178","0.7669749855995178","0.7669749855995178","43152","43152","43152","0.9896000027656555","0.9896000027656555","0.9896000027656555"
"138","43467","43467","43467","0.7708500027656555","0.7708500027656555","0.7708500027656555","43467","43467","43467","0.9906499981880188","0.9906499981880188","0.9906499981880188"
"139","43782","43782","43782","0.7718999981880188","0.7718999981880188","0.7718999981880188","43782","43782","43782","0.9906249642372131","0.9906249642372131","0.9906249642372131"
"140","44097","44097","44097","0.7736999988555908","0.7736999988555908","0.7736999988555908","44097","44097","44097","0.9927749633789062","0.9927749633789062","0.9927749633789062"
"141","44412","44412","44412","0.7748749852180481","0.7748749852180481","0.7748749852180481","44412","44412","44412","0.9924499988555908","0.9924499988555908","0.9924499988555908"
"142","44727","44727","44727","0.778624951839447","0.778624951839447","0.778624951839447","44727","44727","44727","0.9921749830245972","0.9921749830245972","0.9921749830245972"
"143","45042","45042","45042","0.7784749865531921","0.7784749865531921","0.7784749865531921","45042","45042","45042","0.9933499693870544","0.9933499693870544","0.9933499693870544"
"144","45357","45357","45357","0.7853249907493591","0.7853249907493591","0.7853249907493591","45357","45357","45357","0.9947749972343445","0.9947749972343445","0.9947749972343445"
"145","45672","45672","45672","0.7814750075340271","0.7814750075340271","0.7814750075340271","45672","45672","45672","0.9945749640464783","0.9945749640464783","0.9945749640464783"
"146","45987","45987","45987","0.7896749973297119","0.7896749973297119","0.7896749973297119","45987","45987","45987","0.995074987411499","0.995074987411499","0.995074987411499"
"147","46302","46302","46302","0.7887749671936035","0.7887749671936035","0.7887749671936035","46302","46302","46302","0.9950999617576599","0.9950999617576599","0.9950999617576599"
"148","46617","46617","46617","0.7890749573707581","0.7890749573707581","0.7890749573707581","46617","46617","46617","0.9966249465942383","0.9966249465942383","0.9966249465942383"
"149","46932","46932","46932","0.7930749654769897","0.7930749654769897","0.7930749654769897","46932","46932","46932","0.996399998664856","0.996399998664856","0.996399998664856"
"150","47247","47247","47247","0.7966499924659729","0.7966499924659729","0.7966499924659729","47247","47247","47247","0.9964249730110168","0.9964249730110168","0.9964249730110168"
"151","47562","47562","47562","0.7970249652862549","0.7970249652862549","0.7970249652862549","47562","47562","47562","0.9967249631881714","0.9967249631881714","0.9967249631881714"
"152","47877","47877","47877","0.7987749576568604","0.7987749576568604","0.7987749576568604","47877","47877","47877","0.9974249601364136","0.9974249601364136","0.9974249601364136"
"153","48192","48192","48192","0.7983749508857727","0.7983749508857727","0.7983749508857727","48192","48192","48192","0.9972749948501587","0.9972749948501587","0.9972749948501587"
"154","48507","48507","48507","0.8086749911308289","0.8086749911308289","0.8086749911308289","48507","48507","48507","0.9972749948501587","0.9972749948501587","0.9972749948501587"
"155","48822","48822","48822","0.8042749762535095","0.8042749762535095","0.8042749762535095","48822","48822","48822","0.9975999593734741","0.9975999593734741","0.9975999593734741"
"156","49137","49137","49137","0.8109250068664551","0.8109250068664551","0.8109250068664551","49137","49137","49137","0.9973250031471252","0.9973250031471252","0.9973250031471252"
"157","49452","49452","49452","0.8102749586105347","0.8102749586105347","0.8102749586105347","49452","49452","49452","0.9977249503135681","0.9977249503135681","0.9977249503135681"
"158","49767","49767","49767","0.8127999901771545","0.8127999901771545","0.8127999901771545","49767","49767","49767","0.9976499676704407","0.9976499676704407","0.9976499676704407"
"159","50082","50082","50082","0.8167749643325806","0.8167749643325806","0.8167749643325806","50082","50082","50082","0.9977749586105347","0.9977749586105347","0.9977749586105347"
"160","50397","50397","50397","0.8187999725341797","0.8187999725341797","0.8187999725341797","50397","50397","50397","0.9976999759674072","0.9976999759674072","0.9976999759674072"
"161","50712","50712","50712","0.825249969959259","0.825249969959259","0.825249969959259","50712","50712","50712","0.9976249933242798","0.9976249933242798","0.9976249933242798"
"162","51027","51027","51027","0.8223249912261963","0.8223249912261963","0.8223249912261963","51027","51027","51027","0.9978249669075012","0.9978249669075012","0.9978249669075012"
"163","51342","51342","51342","0.8232749700546265","0.8232749700546265","0.8232749700546265","51342","51342","51342","0.9976750016212463","0.9976750016212463","0.9976750016212463"
"164","51657","51657","51657","0.8307249546051025","0.8307249546051025","0.8307249546051025","51657","51657","51657","0.9977249503135681","0.9977249503135681","0.9977249503135681"
"165","51972","51972","51972","0.8317499756813049","0.8317499756813049","0.8317499756813049","51972","51972","51972","0.9977249503135681","0.9977249503135681","0.9977249503135681"
"166","52287","52287","52287","0.8342499732971191","0.8342499732971191","0.8342499732971191","52287","52287","52287","0.9978249669075012","0.9978249669075012","0.9978249669075012"
"167","52602","52602","52602","0.833674967288971","0.833674967288971","0.833674967288971","52602","52602","52602","0.9979499578475952","0.9979499578475952","0.9979499578475952"
"168","52917","52917","52917","0.8404499888420105","0.8404499888420105","0.8404499888420105","52917","52917","52917","0.9978749752044678","0.9978749752044678","0.9978749752044678"
"169","53232","53232","53232","0.8431249856948853","0.8431249856948853","0.8431249856948853","53232","53232","53232","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"170","53547","53547","53547","0.8420000076293945","0.8420000076293945","0.8420000076293945","53547","53547","53547","0.9977749586105347","0.9977749586105347","0.9977749586105347"
"171","53862","53862","53862","0.8516499996185303","0.8516499996185303","0.8516499996185303","53862","53862","53862","0.9979249835014343","0.9979249835014343","0.9979249835014343"
"172","54177","54177","54177","0.8467249870300293","0.8467249870300293","0.8467249870300293","54177","54177","54177","0.9977749586105347","0.9977749586105347","0.9977749586105347"
"173","54492","54492","54492","0.8506999611854553","0.8506999611854553","0.8506999611854553","54492","54492","54492","0.9978500008583069","0.9978500008583069","0.9978500008583069"
"174","54807","54807","54807","0.8599749803543091","0.8599749803543091","0.8599749803543091","54807","54807","54807","0.9978249669075012","0.9978249669075012","0.9978249669075012"
"175","55122","55122","55122","0.8573749661445618","0.8573749661445618","0.8573749661445618","55122","55122","55122","0.9978249669075012","0.9978249669075012","0.9978249669075012"
"176","55437","55437","55437","0.8588249683380127","0.8588249683380127","0.8588249683380127","55437","55437","55437","0.9979499578475952","0.9979499578475952","0.9979499578475952"
"177","55752","55752","55752","0.8629249930381775","0.8629249930381775","0.8629249930381775","55752","55752","55752","0.9978749752044678","0.9978749752044678","0.9978749752044678"
"178","56067","56067","56067","0.8644999861717224","0.8644999861717224","0.8644999861717224","56067","56067","56067","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"179","56382","56382","56382","0.8666499853134155","0.8666499853134155","0.8666499853134155","56382","56382","56382","0.9979999661445618","0.9979999661445618","0.9979999661445618"
"180","56697","56697","56697","0.8736499547958374","0.8736499547958374","0.8736499547958374","56697","56697","56697","0.9979499578475952","0.9979499578475952","0.9979499578475952"
"181","57012","57012","57012","0.8708750009536743","0.8708750009536743","0.8708750009536743","57012","57012","57012","0.9978249669075012","0.9978249669075012","0.9978249669075012"
"182","57327","57327","57327","0.8748999834060669","0.8748999834060669","0.8748999834060669","57327","57327","57327","0.9978749752044678","0.9978749752044678","0.9978749752044678"
"183","57642","57642","57642","0.8787499666213989","0.8787499666213989","0.8787499666213989","57642","57642","57642","0.9979249835014343","0.9979249835014343","0.9979249835014343"
"184","57957","57957","57957","0.8776249885559082","0.8776249885559082","0.8776249885559082","57957","57957","57957","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"185","58272","58272","58272","0.8833249807357788","0.8833249807357788","0.8833249807357788","58272","58272","58272","0.9979249835014343","0.9979249835014343","0.9979249835014343"
"186","58587","58587","58587","0.885574996471405","0.885574996471405","0.885574996471405","58587","58587","58587","0.9979499578475952","0.9979499578475952","0.9979499578475952"
"187","58902","58902","58902","0.8897749781608582","0.8897749781608582","0.8897749781608582","58902","58902","58902","0.9979249835014343","0.9979249835014343","0.9979249835014343"
"188","59217","59217","59217","0.8897749781608582","0.8897749781608582","0.8897749781608582","59217","59217","59217","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"189","59532","59532","59532","0.8917749524116516","0.8917749524116516","0.8917749524116516","59532","59532","59532","0.9980999827384949","0.9980999827384949","0.9980999827384949"
"190","59847","59847","59847","0.8952999711036682","0.8952999711036682","0.8952999711036682","59847","59847","59847","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"191","60162","60162","60162","0.8999499678611755","0.8999499678611755","0.8999499678611755","60162","60162","60162","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"192","60477","60477","60477","0.9021749496459961","0.9021749496459961","0.9021749496459961","60477","60477","60477","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"193","60792","60792","60792","0.9075749516487122","0.9075749516487122","0.9075749516487122","60792","60792","60792","0.9979999661445618","0.9979999661445618","0.9979999661445618"
"194","61107","61107","61107","0.9096750020980835","0.9096750020980835","0.9096750020980835","61107","61107","61107","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"195","61422","61422","61422","0.9111499786376953","0.9111499786376953","0.9111499786376953","61422","61422","61422","0.9980749487876892","0.9980749487876892","0.9980749487876892"
"196","61737","61737","61737","0.9131249785423279","0.9131249785423279","0.9131249785423279","61737","61737","61737","0.9979249835014343","0.9979249835014343","0.9979249835014343"
"197","62052","62052","62052","0.9151749610900879","0.9151749610900879","0.9151749610900879","62052","62052","62052","0.9979999661445618","0.9979999661445618","0.9979999661445618"
"198","62367","62367","62367","0.9124749898910522","0.9124749898910522","0.9124749898910522","62367","62367","62367","0.9979499578475952","0.9979499578475952","0.9979499578475952"
"199","62682","62682","62682","0.9208499789237976","0.9208499789237976","0.9208499789237976","62682","62682","62682","0.9979249835014343","0.9979249835014343","0.9979249835014343"
"200","62997","62997","62997","0.9225249886512756","0.9225249886512756","0.9225249886512756","62997","62997","62997","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"201","63312","63312","63312","0.9243499636650085","0.9243499636650085","0.9243499636650085","63312","63312","63312","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"202","63627","63627","63627","0.9267999529838562","0.9267999529838562","0.9267999529838562","63627","63627","63627","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"203","63942","63942","63942","0.9303500056266785","0.9303500056266785","0.9303500056266785","63942","63942","63942","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"204","64257","64257","64257","0.9335749745368958","0.9335749745368958","0.9335749745368958","64257","64257","64257","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"205","64572","64572","64572","0.934624969959259","0.934624969959259","0.934624969959259","64572","64572","64572","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"206","64887","64887","64887","0.9387750029563904","0.9387750029563904","0.9387750029563904","64887","64887","64887","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"207","65202","65202","65202","0.9439249634742737","0.9439249634742737","0.9439249634742737","65202","65202","65202","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"208","65517","65517","65517","0.9424999952316284","0.9424999952316284","0.9424999952316284","65517","65517","65517","0.9980749487876892","0.9980749487876892","0.9980749487876892"
"209","65832","65832","65832","0.9446499943733215","0.9446499943733215","0.9446499943733215","65832","65832","65832","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"210","66147","66147","66147","0.9486249685287476","0.9486249685287476","0.9486249685287476","66147","66147","66147","0.9979999661445618","0.9979999661445618","0.9979999661445618"
"211","66462","66462","66462","0.9535749554634094","0.9535749554634094","0.9535749554634094","66462","66462","66462","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"212","66777","66777","66777","0.9549499750137329","0.9549499750137329","0.9549499750137329","66777","66777","66777","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"213","67092","67092","67092","0.9553249478340149","0.9553249478340149","0.9553249478340149","67092","67092","67092","0.998199999332428","0.998199999332428","0.998199999332428"
"214","67407","67407","67407","0.9571999907493591","0.9571999907493591","0.9571999907493591","67407","67407","67407","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"215","67722","67722","67722","0.9572749733924866","0.9572749733924866","0.9572749733924866","67722","67722","67722","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"216","68037","68037","68037","0.9621749520301819","0.9621749520301819","0.9621749520301819","68037","68037","68037","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"217","68352","68352","68352","0.9650249481201172","0.9650249481201172","0.9650249481201172","68352","68352","68352","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"218","68667","68667","68667","0.9657250046730042","0.9657250046730042","0.9657250046730042","68667","68667","68667","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"219","68982","68982","68982","0.971299946308136","0.971299946308136","0.971299946308136","68982","68982","68982","0.9978999495506287","0.9978999495506287","0.9978999495506287"
"220","69297","69297","69297","0.9726249575614929","0.9726249575614929","0.9726249575614929","69297","69297","69297","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"221","69612","69612","69612","0.9757750034332275","0.9757750034332275","0.9757750034332275","69612","69612","69612","0.9980999827384949","0.9980999827384949","0.9980999827384949"
"222","69927","69927","69927","0.9753999710083008","0.9753999710083008","0.9753999710083008","69927","69927","69927","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"223","70242","70242","70242","0.9785749912261963","0.9785749912261963","0.9785749912261963","70242","70242","70242","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"224","70557","70557","70557","0.9778249859809875","0.9778249859809875","0.9778249859809875","70557","70557","70557","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"225","70872","70872","70872","0.9810499548912048","0.9810499548912048","0.9810499548912048","70872","70872","70872","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"226","71187","71187","71187","0.9827999472618103","0.9827999472618103","0.9827999472618103","71187","71187","71187","0.9979749917984009","0.9979749917984009","0.9979749917984009"
"227","71502","71502","71502","0.9828999638557434","0.9828999638557434","0.9828999638557434","71502","71502","71502","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"228","71817","71817","71817","0.9847999811172485","0.9847999811172485","0.9847999811172485","71817","71817","71817","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"229","72132","72132","72132","0.9875999689102173","0.9875999689102173","0.9875999689102173","72132","72132","72132","0.9980999827384949","0.9980999827384949","0.9980999827384949"
"230","72447","72447","72447","0.9880749583244324","0.9880749583244324","0.9880749583244324","72447","72447","72447","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"231","72762","72762","72762","0.9878749847412109","0.9878749847412109","0.9878749847412109","72762","72762","72762","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"232","73077","73077","73077","0.9899749755859375","0.9899749755859375","0.9899749755859375","73077","73077","73077","0.9980749487876892","0.9980749487876892","0.9980749487876892"
"233","73392","73392","73392","0.9907499551773071","0.9907499551773071","0.9907499551773071","73392","73392","73392","0.9980749487876892","0.9980749487876892","0.9980749487876892"
"234","73707","73707","73707","0.9911999702453613","0.9911999702453613","0.9911999702453613","73707","73707","73707","0.998199999332428","0.998199999332428","0.998199999332428"
"235","74022","74022","74022","0.991474986076355","0.991474986076355","0.991474986076355","74022","74022","74022","0.9980499744415283","0.9980499744415283","0.9980499744415283"
"236","74337","74337","74337","0.9924249649047852","0.9924249649047852","0.9924249649047852","74337","74337","74337","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"237","74652","74652","74652","0.9933499693870544","0.9933499693870544","0.9933499693870544","74652","74652","74652","0.9980749487876892","0.9980749487876892","0.9980749487876892"
"238","74967","74967","74967","0.9939249753952026","0.9939249753952026","0.9939249753952026","74967","74967","74967","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"239","75282","75282","75282","0.9939249753952026","0.9939249753952026","0.9939249753952026","75282","75282","75282","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"240","75597","75597","75597","0.9944999814033508","0.9944999814033508","0.9944999814033508","75597","75597","75597","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"241","75912","75912","75912","0.9946249723434448","0.9946249723434448","0.9946249723434448","75912","75912","75912","0.9980250000953674","0.9980250000953674","0.9980250000953674"
"242","76227","76227","76227","0.9946999549865723","0.9946999549865723","0.9946999549865723","76227","76227","76227","0.9980999827384949","0.9980999827384949","0.9980999827384949"
"243","76542","76542","76542","0.9958499670028687","0.9958499670028687","0.9958499670028687","76542","76542","76542","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"244","76857","76857","76857","0.9962249994277954","0.9962249994277954","0.9962249994277954","76857","76857","76857","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"245","77172","77172","77172","0.9962499737739563","0.9962499737739563","0.9962499737739563","77172","77172","77172","0.9980749487876892","0.9980749487876892","0.9980749487876892"
"246","77487","77487","77487","0.9959999918937683","0.9959999918937683","0.9959999918937683","77487","77487","77487","0.998199999332428","0.998199999332428","0.998199999332428"
"247","77802","77802","77802","0.9966249465942383","0.9966249465942383","0.9966249465942383","77802","77802","77802","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"248","78117","78117","78117","0.9963499903678894","0.9963499903678894","0.9963499903678894","78117","78117","78117","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"249","78432","78432","78432","0.9968999624252319","0.9968999624252319","0.9968999624252319","78432","78432","78432","0.998199999332428","0.998199999332428","0.998199999332428"
"250","78747","78747","78747","0.997249960899353","0.997249960899353","0.997249960899353","78747","78747","78747","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"251","79062","79062","79062","0.9970249533653259","0.9970249533653259","0.9970249533653259","79062","79062","79062","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"252","79377","79377","79377","0.9968249797821045","0.9968249797821045","0.9968249797821045","79377","79377","79377","0.9982499480247498","0.9982499480247498","0.9982499480247498"
"253","79692","79692","79692","0.9970999956130981","0.9970999956130981","0.9970999956130981","79692","79692","79692","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"254","80007","80007","80007","0.9973250031471252","0.9973250031471252","0.9973250031471252","80007","80007","80007","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"255","80322","80322","80322","0.997124969959259","0.997124969959259","0.997124969959259","80322","80322","80322","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"256","80637","80637","80637","0.997249960899353","0.997249960899353","0.997249960899353","80637","80637","80637","0.9980749487876892","0.9980749487876892","0.9980749487876892"
"257","80952","80952","80952","0.997249960899353","0.997249960899353","0.997249960899353","80952","80952","80952","0.9980999827384949","0.9980999827384949","0.9980999827384949"
"258","81267","81267","81267","0.997374951839447","0.997374951839447","0.997374951839447","81267","81267","81267","0.998199999332428","0.998199999332428","0.998199999332428"
"259","81582","81582","81582","0.9976750016212463","0.9976750016212463","0.9976750016212463","81582","81582","81582","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"260","81897","81897","81897","0.9975999593734741","0.9975999593734741","0.9975999593734741","81897","81897","81897","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"261","82212","82212","82212","0.9976750016212463","0.9976750016212463","0.9976750016212463","82212","82212","82212","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"262","82527","82527","82527","0.9974749684333801","0.9974749684333801","0.9974749684333801","82527","82527","82527","0.9982499480247498","0.9982499480247498","0.9982499480247498"
"263","82842","82842","82842","0.9975749850273132","0.9975749850273132","0.9975749850273132","82842","82842","82842","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"264","83157","83157","83157","0.9975000023841858","0.9975000023841858","0.9975000023841858","83157","83157","83157","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"265","83472","83472","83472","0.9976750016212463","0.9976750016212463","0.9976750016212463","83472","83472","83472","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"266","83787","83787","83787","0.9977499842643738","0.9977499842643738","0.9977499842643738","83787","83787","83787","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"267","84102","84102","84102","0.9977499842643738","0.9977499842643738","0.9977499842643738","84102","84102","84102","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"268","84417","84417","84417","0.9977249503135681","0.9977249503135681","0.9977249503135681","84417","84417","84417","0.998199999332428","0.998199999332428","0.998199999332428"
"269","84732","84732","84732","0.9977749586105347","0.9977749586105347","0.9977749586105347","84732","84732","84732","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"270","85047","85047","85047","0.9978749752044678","0.9978749752044678","0.9978749752044678","85047","85047","85047","0.998199999332428","0.998199999332428","0.998199999332428"
"271","85362","85362","85362","0.9976999759674072","0.9976999759674072","0.9976999759674072","85362","85362","85362","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"272","85677","85677","85677","0.9978749752044678","0.9978749752044678","0.9978749752044678","85677","85677","85677","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"273","85992","85992","85992","0.9978749752044678","0.9978749752044678","0.9978749752044678","85992","85992","85992","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"274","86307","86307","86307","0.9979999661445618","0.9979999661445618","0.9979999661445618","86307","86307","86307","0.9982999563217163","0.9982999563217163","0.9982999563217163"
"275","86622","86622","86622","0.9980250000953674","0.9980250000953674","0.9980250000953674","86622","86622","86622","0.998199999332428","0.998199999332428","0.998199999332428"
"276","86937","86937","86937","0.9978749752044678","0.9978749752044678","0.9978749752044678","86937","86937","86937","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"277","87252","87252","87252","0.9977749586105347","0.9977749586105347","0.9977749586105347","87252","87252","87252","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"278","87567","87567","87567","0.9977499842643738","0.9977499842643738","0.9977499842643738","87567","87567","87567","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"279","87882","87882","87882","0.9978749752044678","0.9978749752044678","0.9978749752044678","87882","87882","87882","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"280","88197","88197","88197","0.9975249767303467","0.9975249767303467","0.9975249767303467","88197","88197","88197","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"281","88512","88512","88512","0.9980499744415283","0.9980499744415283","0.9980499744415283","88512","88512","88512","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"282","88827","88827","88827","0.9979749917984009","0.9979749917984009","0.9979749917984009","88827","88827","88827","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"283","89142","89142","89142","0.9979999661445618","0.9979999661445618","0.9979999661445618","89142","89142","89142","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"284","89457","89457","89457","0.9978500008583069","0.9978500008583069","0.9978500008583069","89457","89457","89457","0.9982499480247498","0.9982499480247498","0.9982499480247498"
"285","89772","89772","89772","0.9979499578475952","0.9979499578475952","0.9979499578475952","89772","89772","89772","0.9982499480247498","0.9982499480247498","0.9982499480247498"
"286","90087","90087","90087","0.9981249570846558","0.9981249570846558","0.9981249570846558","90087","90087","90087","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"287","90402","90402","90402","0.9978749752044678","0.9978749752044678","0.9978749752044678","90402","90402","90402","0.998324990272522","0.998324990272522","0.998324990272522"
"288","90717","90717","90717","0.9978249669075012","0.9978249669075012","0.9978249669075012","90717","90717","90717","0.9981249570846558","0.9981249570846558","0.9981249570846558"
"289","91032","91032","91032","0.9980250000953674","0.9980250000953674","0.9980250000953674","91032","91032","91032","0.998199999332428","0.998199999332428","0.998199999332428"
"290","91347","91347","91347","0.9978999495506287","0.9978999495506287","0.9978999495506287","91347","91347","91347","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"291","91662","91662","91662","0.9979999661445618","0.9979999661445618","0.9979999661445618","91662","91662","91662","0.9982999563217163","0.9982999563217163","0.9982999563217163"
"292","91977","91977","91977","0.9979749917984009","0.9979749917984009","0.9979749917984009","91977","91977","91977","0.998199999332428","0.998199999332428","0.998199999332428"
"293","92292","92292","92292","0.9979999661445618","0.9979999661445618","0.9979999661445618","92292","92292","92292","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"294","92607","92607","92607","0.9980499744415283","0.9980499744415283","0.9980499744415283","92607","92607","92607","0.9981499910354614","0.9981499910354614","0.9981499910354614"
"295","92922","92922","92922","0.9979249835014343","0.9979249835014343","0.9979249835014343","92922","92922","92922","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"296","93237","93237","93237","0.9980749487876892","0.9980749487876892","0.9980749487876892","93237","93237","93237","0.9981749653816223","0.9981749653816223","0.9981749653816223"
"297","93552","93552","93552","0.9980749487876892","0.9980749487876892","0.9980749487876892","93552","93552","93552","0.9982249736785889","0.9982249736785889","0.9982249736785889"
"298","93867","93867","93867","0.9979749917984009","0.9979749917984009","0.9979749917984009","93867","93867","93867","0.998199999332428","0.998199999332428","0.998199999332428"
"299","94182","94182","94182","0.9977999925613403","0.9977999925613403","0.9977999925613403","94182","94182","94182","0.9982749819755554","0.9982749819755554","0.9982749819755554"
"300","94497","94497","94497","0.9980749487876892","0.9980749487876892","0.9980749487876892","94497","94497","94497","0.9982249736785889","0.9982249736785889","0.9982249736785889"
