"epoch","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - _step__MAX","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MIN","mobilenet_Task Scheduler_True_Saturday_15_March_2025_11h_33m_23s - learning_rate__MAX"
"28","8791","8791","8791","0.04893298743830169","0.04893298743830169","0.04893298743830169"
"29","9105","9105","9105","0.048856008212906935","0.048856008212906935","0.048856008212906935"
"30","9419","9419","9419","0.04877641290737886","0.04877641290737886","0.04877641290737886"
"31","9733","9733","9733","0.04869421025023966","0.04869421025023966","0.04869421025023966"
"32","10047","10047","10047","0.04860940925593704","0.04860940925593704","0.04860940925593704"
"33","10361","10361","10361","0.04852201922385565","0.04852201922385565","0.04852201922385565"
"34","10675","10675","10675","0.0484320497372973","0.0484320497372973","0.0484320497372973"
"35","10989","10989","10989","0.04833951066243005","0.04833951066243005","0.04833951066243005"
"36","11303","11303","11303","0.048244412147206296","0.048244412147206296","0.048244412147206296"
"37","11617","11617","11617","0.04814676462024989","0.04814676462024989","0.04814676462024989"
"38","11931","11931","11931","0.04804657878971253","0.04804657878971253","0.04804657878971253"
"39","12245","12245","12245","0.04794386564209954","0.04794386564209954","0.04794386564209954"
"40","12559","12559","12559","0.047838636441065036","0.047838636441065036","0.047838636441065036"
"41","12873","12873","12873","0.04773090272617673","0.04773090272617673","0.04773090272617673"
"42","13187","13187","13187","0.047620676311650505","0.047620676311650505","0.047620676311650505"
"43","13501","13501","13501","0.04750796928505486","0.04750796928505486","0.04750796928505486"
"44","13815","13815","13815","0.04739279400598534","0.04739279400598534","0.04739279400598534"
"45","14129","14129","14129","0.04727516310470921","0.04727516310470921","0.04727516310470921"
"46","14443","14443","14443","0.04715508948078038","0.04715508948078038","0.04715508948078038"
