"Step","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MIN","mobilenet_Task LR_0.2_Friday_14_March_2025_20h_11m_20s - Train/loss__MAX","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MIN","mobilenet_Task LR_0.01_Friday_14_March_2025_19h_08m_28s - Train/loss__MAX","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MIN","mobilenet_Task LR_0.05_Friday_14_March_2025_18h_50m_38s - Train/loss__MAX"
"69","4.326855182647705","4.326855182647705","4.326855182647705","4.5041399002075195","4.5041399002075195","4.5041399002075195","4.509964942932129","4.509964942932129","4.509964942932129"
"70","4.394728660583496","4.394728660583496","4.394728660583496","4.555556297302246","4.555556297302246","4.555556297302246","4.379191875457764","4.379191875457764","4.379191875457764"
"71","4.268232822418213","4.268232822418213","4.268232822418213","4.522750377655029","4.522750377655029","4.522750377655029","4.400136947631836","4.400136947631836","4.400136947631836"
"72","4.355734825134277","4.355734825134277","4.355734825134277","4.459758281707764","4.459758281707764","4.459758281707764","4.4202799797058105","4.4202799797058105","4.4202799797058105"
"73","4.239336013793945","4.239336013793945","4.239336013793945","4.525905132293701","4.525905132293701","4.525905132293701","4.4222564697265625","4.4222564697265625","4.4222564697265625"
"74","4.243105888366699","4.243105888366699","4.243105888366699","4.518478870391846","4.518478870391846","4.518478870391846","4.284805774688721","4.284805774688721","4.284805774688721"
"75","4.204833984375","4.204833984375","4.204833984375","4.4707489013671875","4.4707489013671875","4.4707489013671875","4.378287315368652","4.378287315368652","4.378287315368652"
"76","4.276129722595215","4.276129722595215","4.276129722595215","4.525999546051025","4.525999546051025","4.525999546051025","4.364112854003906","4.364112854003906","4.364112854003906"
"77","4.1332106590271","4.1332106590271","4.1332106590271","4.523071765899658","4.523071765899658","4.523071765899658","4.4498291015625","4.4498291015625","4.4498291015625"
"78","4.276989936828613","4.276989936828613","4.276989936828613","4.451877593994141","4.451877593994141","4.451877593994141","4.339632987976074","4.339632987976074","4.339632987976074"
"79","4.242910385131836","4.242910385131836","4.242910385131836","4.64623498916626","4.64623498916626","4.64623498916626","4.398604393005371","4.398604393005371","4.398604393005371"
"80","4.265054702758789","4.265054702758789","4.265054702758789","4.454282760620117","4.454282760620117","4.454282760620117","4.257513523101807","4.257513523101807","4.257513523101807"
"81","4.378079414367676","4.378079414367676","4.378079414367676","4.505644798278809","4.505644798278809","4.505644798278809","4.20872688293457","4.20872688293457","4.20872688293457"
"82","4.180800914764404","4.180800914764404","4.180800914764404","4.566899299621582","4.566899299621582","4.566899299621582","4.28973388671875","4.28973388671875","4.28973388671875"
"83","4.290017604827881","4.290017604827881","4.290017604827881","4.565341472625732","4.565341472625732","4.565341472625732","4.361754894256592","4.361754894256592","4.361754894256592"
"84","4.193761825561523","4.193761825561523","4.193761825561523","4.441113471984863","4.441113471984863","4.441113471984863","4.284603118896484","4.284603118896484","4.284603118896484"
"85","4.447378158569336","4.447378158569336","4.447378158569336","4.504598140716553","4.504598140716553","4.504598140716553","4.283857822418213","4.283857822418213","4.283857822418213"
"86","4.150392532348633","4.150392532348633","4.150392532348633","4.474662780761719","4.474662780761719","4.474662780761719","4.374094486236572","4.374094486236572","4.374094486236572"
"87","4.189951419830322","4.189951419830322","4.189951419830322","4.4289960861206055","4.4289960861206055","4.4289960861206055","4.296952724456787","4.296952724456787","4.296952724456787"
"88","4.251300811767578","4.251300811767578","4.251300811767578","4.432560443878174","4.432560443878174","4.432560443878174","4.081450462341309","4.081450462341309","4.081450462341309"
"89","4.232862949371338","4.232862949371338","4.232862949371338","4.551722049713135","4.551722049713135","4.551722049713135","4.128729343414307","4.128729343414307","4.128729343414307"
"90","4.269656181335449","4.269656181335449","4.269656181335449","4.429537773132324","4.429537773132324","4.429537773132324","4.327719211578369","4.327719211578369","4.327719211578369"
"91","4.195313453674316","4.195313453674316","4.195313453674316","4.523774147033691","4.523774147033691","4.523774147033691","4.2586140632629395","4.2586140632629395","4.2586140632629395"
"92","4.1690673828125","4.1690673828125","4.1690673828125","4.422003746032715","4.422003746032715","4.422003746032715","4.10039758682251","4.10039758682251","4.10039758682251"
"93","4.222537040710449","4.222537040710449","4.222537040710449","4.426199913024902","4.426199913024902","4.426199913024902","4.260540962219238","4.260540962219238","4.260540962219238"
"94","4.232618808746338","4.232618808746338","4.232618808746338","4.527339935302734","4.527339935302734","4.527339935302734","4.3187642097473145","4.3187642097473145","4.3187642097473145"
"95","4.316512107849121","4.316512107849121","4.316512107849121","4.410248756408691","4.410248756408691","4.410248756408691","4.328009605407715","4.328009605407715","4.328009605407715"
"96","4.0728631019592285","4.0728631019592285","4.0728631019592285","4.524151802062988","4.524151802062988","4.524151802062988","4.337346076965332","4.337346076965332","4.337346076965332"
