"Step","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0001_Sunday_16_March_2025_02h_47m_48s - Train/loss__MAX","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MIN","mobilenet_Task Weight Decay_0.0005_Sunday_16_March_2025_02h_46m_11s - Train/loss__MAX"
"165","3.9857423305511475","3.9857423305511475","3.9857423305511475","","",""
"166","","","","4.149731159210205","4.149731159210205","4.149731159210205"
"167","","","","4.150325298309326","4.150325298309326","4.150325298309326"
"181","3.998842477798462","3.998842477798462","3.998842477798462","","",""
"185","","","","3.742149829864502","3.742149829864502","3.742149829864502"
"188","","","","4.045294761657715","4.045294761657715","4.045294761657715"
"190","","","","4.008202075958252","4.008202075958252","4.008202075958252"
"191","4.009243488311768","4.009243488311768","4.009243488311768","","",""
"199","","","","3.9112069606781006","3.9112069606781006","3.9112069606781006"
"202","3.8100380897521973","3.8100380897521973","3.8100380897521973","","",""
"203","3.9290239810943604","3.9290239810943604","3.9290239810943604","","",""
"205","","","","3.8343706130981445","3.8343706130981445","3.8343706130981445"
"209","","","","4.061981678009033","4.061981678009033","4.061981678009033"
"217","3.8615968227386475","3.8615968227386475","3.8615968227386475","3.9829180240631104","3.9829180240631104","3.9829180240631104"
"218","4.162934303283691","4.162934303283691","4.162934303283691","","",""
"219","3.730278730392456","3.730278730392456","3.730278730392456","","",""
"221","","","","3.8352890014648438","3.8352890014648438","3.8352890014648438"
"231","4.056384563446045","4.056384563446045","4.056384563446045","","",""
"240","3.934705972671509","3.934705972671509","3.934705972671509","","",""
"247","","","","3.903524160385132","3.903524160385132","3.903524160385132"
"249","","","","3.9216561317443848","3.9216561317443848","3.9216561317443848"
"254","","","","3.8182153701782227","3.8182153701782227","3.8182153701782227"
