"epoch","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - _step__MAX","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MIN","mobilenet_Task Activation_Function_all relu_Thursday_20_March_2025_11h_32m_34s - Train/loss__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - _step__MAX","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MIN","mobilenet_Task Activation_Function_4,5,6,7,8,9,10_Thursday_20_March_2025_09h_23m_16s - Train/loss__MAX"
"11","6571.025641025641","6288","6862","2.0631569654513626","1.8389170169830322","2.3051695823669434","6576.863636363636","6280","6888","2.035857330669056","1.7830687761306763","2.370404005050659"
"12","7205.4838709677415","6910","7476","1.9573179329595258","1.7025495767593384","2.4322962760925293","7208.787878787879","6934","7490","2.0181185874071987","1.804304599761963","2.290004014968872"
"13","7896.142857142857","7608","8108","1.9702011900288718","1.7631176710128784","2.201234817504883","7865.333333333333","7560","8150","1.9510628928740819","1.6312896013259888","2.1531805992126465"
"14","8417.655172413793","8164","8722","1.832263971197194","1.5902385711669922","2.113736629486084","8457.575757575758","8166","8760","1.9273424582047896","1.7038049697875977","2.2747561931610107"
"15","9164.611111111111","8792","9414","1.7885297073258295","1.5230852365493774","2.035703182220459","9094.9","8792","9396","1.8799309849739074","1.6042364835739136","2.3485445976257324"
"16","9745.833333333334","9428","10036","1.8166743218898773","1.5607056617736816","2.183227062225342","9759.611111111111","9422","10040","1.8735003074010212","1.5804394483566284","2.2965033054351807"
"17","10360.410256410256","10048","10670","1.688654621442159","1.3470216989517212","2.094446897506714","10424.88","10080","10664","1.8845316982269287","1.5977344512939453","2.162205934524536"
"18","10966.8","10676","11294","1.6838478883107504","1.4656835794448853","2.0746917724609375","10940.25","10676","11296","1.8160768933594227","1.5334209203720093","2.0787622928619385"
"19","11638.882352941177","11350","11914","1.672537288245033","1.3706058263778687","1.943511962890625","11653.4","11348","11908","1.741801412900289","1.4626185894012451","1.9986809492111206"
"20","12227.785714285714","11938","12536","1.65187640275274","1.3329119682312012","1.9297317266464233","12262.324324324325","11948","12550","1.7848548405879252","1.483195185661316","2.122734546661377"
"21","12856.342857142858","12580","13182","1.6317460639136179","1.2792987823486328","1.8992130756378174","12901.64705882353","12584","13182","1.74291333731483","1.3946491479873657","1.9739779233932495"
"22","13528","13200","13810","1.5850849253066042","1.251535415649414","1.98450767993927","13512","13212","13804","1.7376414208576596","1.5263663530349731","2.112757444381714"
"23","14099.692307692309","13828","14432","1.5253547338339","1.243039846420288","1.769173502922058","14137.478260869566","13822","14432","1.7358297057773755","1.4672658443450928","1.9984439611434937"
"24","14791.8","14478","15032","1.5351104855537414","1.1968488693237305","1.8795102834701538","14811.6","14446","15038","1.7375118335088093","1.5442924499511719","2.105236768722534"
"25","15411.933333333332","15092","15676","1.5326109846433005","1.1895925998687744","1.8774245977401733","15382.4","15078","15680","1.7074405312538148","1.4908636808395386","1.9359521865844727"
"26","16002.941176470587","15716","16320","1.484618975835688","1.2116992473602295","1.877990484237671","15997.70588235294","15702","16290","1.6769974266781527","1.4931797981262207","1.9356547594070435"
"27","16641.444444444445","16358","16946","1.494526551829444","1.1334928274154663","1.7881128787994385","16642.466666666667","16328","16904","1.631531802813212","1.2622218132019043","2.026374578475952"
"28","17310.4","16972","17574","1.5070451068878175","1.327187180519104","1.829261302947998","17239.935483870966","16970","17566","1.6417067089388448","1.4119402170181274","1.9807273149490356"
"29","17879.30769230769","17590","18168","1.4544426065224867","1.2630318403244019","1.7269378900527954","17885.241379310344","17590","18172","1.5850561446156994","1.3551509380340576","1.8719111680984497"
"30","18467.935483870966","18216","18828","1.4270128242431148","1.2004010677337646","1.6066497564315796","18524.666666666668","18218","18818","1.6065478665488107","1.3553729057312012","1.998517394065857"
"31","19095.733333333334","18856","19422","1.4008003989855449","1.1319127082824707","1.7020299434661865","19153.15","18880","19440","1.5740755587816238","1.2629142999649048","1.9250119924545288"
"32","19766.844444444443","19486","20082","1.356299975183275","1.058458924293518","1.6107335090637207","19844.176470588234","19584","20090","1.585537009379443","1.33477783203125","1.8305302858352661"
