"epoch","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - _step__MAX","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0005_Wednesday_19_March_2025_23h_20m_05s - Train/loss__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - _step__MAX","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MIN","mobilenet_Task Weight_Decay_0.0001_Wednesday_19_March_2025_23h_20m_00s - Train/loss__MAX"
"12","3613.285714285714","3465","3776","1.9550211157117572","1.6438701152801514","2.290405750274658","3635.90625","3465","3761","2.064573995769024","1.86220121383667","2.7134499549865723"
"13","3929.259259259259","3782","4090","1.8832199441062079","1.6859400272369385","2.166074275970459","3932.0967741935483","3780","4085","1.8664831538354196","1.523346185684204","2.3016672134399414"
"14","4231.461538461538","4097","4378","1.9341386327376733","1.6162627935409546","2.1844985485076904","4243.666666666667","4124","4394","1.82100945891756","1.6041163206100464","2.1325161457061768"
"15","4560.580645161291","4421","4711","1.7973527639142928","1.499717354774475","2.1312074661254883","4544.62962962963","4410","4716","1.7050073897397076","1.4720486402511597","2.0021986961364746"
"16","4913.108108108108","4755","5036","1.7814533323855013","1.5277272462844849","2.13340425491333","4864.612903225807","4730","5031","1.679411276694267","1.493560791015625","1.9780648946762085"
"17","5185.529411764706","5041","5342","1.704349763253156","1.5008658170700073","2.1357431411743164","5205.037037037037","5063","5348","1.6752309401830037","1.4449806213378906","1.8995964527130127"
"18","5520.666666666667","5365","5657","1.732515736059709","1.440924048423767","2.137742042541504","5496.214285714285","5356","5658","1.522533459322793","1.2228765487670898","1.8660163879394531"
"19","5837.722222222223","5674","5960","1.6446163488758936","1.3746417760849","1.9631156921386719","5814.40625","5671","5974","1.5007103495299816","1.2610931396484375","1.9082672595977783"
"20","6118.219512195122","5987","6272","1.6117667337743247","1.3376171588897705","1.8961913585662842","6134.416666666667","5986","6295","1.4494339227676392","0.9509967565536499","1.7235889434814453"
"21","6430.1875","6300","6606","1.5930743105709553","1.240435004234314","1.8518589735031128","6469.3421052631575","6304","6599","1.4006508306453103","1.1225228309631348","1.6629970073699951"
